,DLPN
2008-01-22,278.0
2008-01-23,278.0
2008-01-24,250.0
2008-01-25,270.0
2008-01-28,220.0
2008-01-29,270.0
2008-01-30,268.0
2008-01-31,210.0
2008-02-01,250.0
2008-02-04,240.0
2008-02-05,268.0
2008-02-06,268.0
2008-02-07,268.0
2008-02-08,268.0
2008-02-11,268.0
2008-02-12,268.0
2008-02-13,258.0
2008-02-14,150.0
2008-02-15,202.0
2008-02-19,160.0
2008-02-20,202.0
2008-02-21,202.0
2008-02-22,202.0
2008-02-25,202.0
2008-02-26,202.0
2008-02-27,202.0
2008-02-28,202.0
2008-02-29,202.0
2008-03-03,202.0
2008-03-04,152.0
2008-03-05,170.0
2008-03-06,164.0
2008-03-07,202.0
2008-03-10,202.0
2008-03-11,170.0
2008-03-12,190.0
2008-03-13,190.0
2008-03-14,168.0
2008-03-17,150.0
2008-03-18,150.0
2008-03-19,190.0
2008-03-20,190.0
2008-03-24,190.0
2008-03-25,170.0
2008-03-26,160.0
2008-03-27,160.0
2008-03-28,150.0
2008-03-31,190.0
2008-04-01,198.0
2008-04-02,196.0
2008-04-03,192.0
2008-04-04,196.0
2008-04-07,180.0
2008-04-08,176.0
2008-04-09,176.0
2008-04-10,176.0
2008-04-11,140.0
2008-04-14,162.0
2008-04-15,162.0
2008-04-16,158.0
2008-04-17,158.0
2008-04-18,150.0
2008-04-21,130.0
2008-04-22,130.0
2008-04-23,142.0
2008-04-24,142.0
2008-04-25,142.0
2008-04-28,120.0
2008-04-29,120.0
2008-04-30,120.0
2008-05-01,120.0
2008-05-02,120.0
2008-05-05,152.0
2008-05-06,152.0
2008-05-07,152.0
2008-05-08,170.0
2008-05-09,120.0
2008-05-12,140.0
2008-05-13,150.0
2008-05-14,130.0
2008-05-15,150.0
2008-05-16,150.0
2008-05-19,150.0
2008-05-20,144.0
2008-05-21,124.0
2008-05-22,120.0
2008-05-23,110.0
2008-05-27,110.0
2008-05-28,140.0
2008-05-29,126.0
2008-05-30,126.0
2008-06-02,126.0
2008-06-03,140.0
2008-06-04,140.0
2008-06-05,130.0
2008-06-06,130.0
2008-06-09,130.0
2008-06-10,110.0
2008-06-11,84.0
2008-06-12,104.0
2008-06-13,148.0
2008-06-16,130.0
2008-06-17,180.0
2008-06-18,180.0
2008-06-19,180.0
2008-06-20,170.0
2008-06-23,200.0
2008-06-24,180.0
2008-06-25,140.0
2008-06-26,160.0
2008-06-27,160.0
2008-06-30,140.0
2008-07-01,156.0
2008-07-02,156.0
2008-07-03,150.0
2008-07-07,140.0
2008-07-08,136.0
2008-07-09,130.0
2008-07-10,120.0
2008-07-11,130.0
2008-07-14,132.0
2008-07-15,180.0
2008-07-16,202.0
2008-07-17,250.0
2008-07-18,196.0
2008-07-21,190.0
2008-07-22,206.0
2008-07-23,196.0
2008-07-24,196.0
2008-07-25,202.0
2008-07-28,216.0
2008-07-29,230.0
2008-07-30,230.0
2008-07-31,224.0
2008-08-01,230.0
2008-08-04,210.0
2008-08-05,190.0
2008-08-06,202.0
2008-08-07,202.0
2008-08-08,196.0
2008-08-11,196.0
2008-08-12,190.0
2008-08-13,174.0
2008-08-14,180.0
2008-08-15,180.0
2008-08-18,180.0
2008-08-19,180.0
2008-08-20,180.0
2008-08-21,170.0
2008-08-22,180.0
2008-08-25,180.0
2008-08-26,180.0
2008-08-27,180.0
2008-08-28,174.0
2008-08-29,160.0
2008-09-02,150.0
2008-09-03,156.0
2008-09-04,146.0
2008-09-05,156.0
2008-09-08,146.0
2008-09-09,146.0
2008-09-10,130.0
2008-09-11,120.0
2008-09-12,120.0
2008-09-15,120.0
2008-09-16,126.0
2008-09-17,142.0
2008-09-18,150.0
2008-09-19,164.0
2008-09-22,184.0
2008-09-23,206.0
2008-09-24,204.0
2008-09-25,210.0
2008-09-26,224.0
2008-09-29,210.0
2008-09-30,200.0
2008-10-01,212.0
2008-10-02,204.0
2008-10-03,206.0
2008-10-06,184.0
2008-10-07,196.0
2008-10-08,196.0
2008-10-09,188.0
2008-10-10,170.0
2008-10-13,172.0
2008-10-14,172.0
2008-10-15,182.0
2008-10-16,208.0
2008-10-17,190.0
2008-10-20,200.0
2008-10-21,200.0
2008-10-22,200.0
2008-10-23,210.0
2008-10-24,200.0
2008-10-27,200.0
2008-10-28,200.0
2008-10-29,200.0
2008-10-30,190.0
2008-10-31,190.0
2008-11-03,188.0
2008-11-04,174.0
2008-11-05,180.0
2008-11-06,190.0
2008-11-07,174.0
2008-11-10,190.0
2008-11-11,190.0
2008-11-12,190.0
2008-11-13,190.0
2008-11-14,180.0
2008-11-17,180.0
2008-11-18,180.0
2008-11-19,170.0
2008-11-20,160.0
2008-11-21,150.0
2008-11-24,154.0
2008-11-25,170.0
2008-11-26,160.0
2008-11-28,160.0
2008-12-01,170.0
2008-12-02,160.0
2008-12-03,160.0
2008-12-04,158.0
2008-12-05,158.0
2008-12-08,158.0
2008-12-09,130.0
2008-12-10,140.0
2008-12-11,158.0
2008-12-12,160.0
2008-12-15,160.0
2008-12-16,160.0
2008-12-17,158.0
2008-12-18,124.0
2008-12-19,120.0
2008-12-22,160.0
2008-12-23,160.0
2008-12-24,160.0
2008-12-26,160.0
2008-12-29,160.0
2008-12-30,160.0
2008-12-31,160.0
2009-01-02,160.0
2009-01-05,160.0
2009-01-06,160.0
2009-01-07,156.0
2009-01-08,150.0
2009-01-09,160.0
2009-01-12,160.0
2009-01-13,158.0
2009-01-14,130.0
2009-01-15,130.0
2009-01-16,150.0
2009-01-20,140.0
2009-01-21,140.0
2009-01-22,140.0
2009-01-23,140.0
2009-01-26,140.0
2009-01-27,130.0
2009-01-28,130.0
2009-01-29,130.0
2009-01-30,140.0
2009-02-02,140.0
2009-02-03,136.0
2009-02-04,136.0
2009-02-05,136.0
2009-02-06,120.0
2009-02-09,118.0
2009-02-10,118.0
2009-02-11,106.0
2009-02-12,106.0
2009-02-13,106.0
2009-02-17,106.0
2009-02-18,98.0
2009-02-19,100.0
2009-02-20,80.0
2009-02-23,100.0
2009-02-24,90.0
2009-02-25,102.0
2009-02-26,100.0
2009-02-27,100.0
2009-03-02,90.0
2009-03-03,90.0
2009-03-04,102.0
2009-03-05,102.0
2009-03-06,102.0
2009-03-09,80.0
2009-03-10,80.0
2009-03-11,80.0
2009-03-12,80.0
2009-03-13,98.0
2009-03-16,98.0
2009-03-17,98.0
2009-03-18,98.0
2009-03-19,124.0
2009-03-20,138.0
2009-03-23,124.0
2009-03-24,120.0
2009-03-25,120.0
2009-03-26,112.0
2009-03-27,114.0
2009-03-30,118.0
2009-03-31,126.0
2009-04-01,138.0
2009-04-02,120.0
2009-04-03,120.0
2009-04-06,134.0
2009-04-07,130.0
2009-04-08,118.0
2009-04-09,130.0
2009-04-13,114.0
2009-04-14,114.0
2009-04-15,98.0
2009-04-16,118.0
2009-04-17,90.0
2009-04-20,108.0
2009-04-21,100.0
2009-04-22,100.0
2009-04-23,110.0
2009-04-24,120.0
2009-04-27,106.0
2009-04-28,100.0
2009-04-29,110.0
2009-04-30,120.0
2009-05-01,118.0
2009-05-04,110.0
2009-05-05,110.0
2009-05-06,114.0
2009-05-07,114.0
2009-05-08,128.0
2009-05-11,136.0
2009-05-12,134.0
2009-05-13,142.0
2009-05-14,140.0
2009-05-15,140.0
2009-05-18,140.0
2009-05-19,140.0
2009-05-20,134.0
2009-05-21,136.0
2009-05-22,136.0
2009-05-26,120.0
2009-05-27,120.0
2009-05-28,120.0
2009-05-29,120.0
2009-06-01,106.0
2009-06-02,110.0
2009-06-03,110.0
2009-06-04,112.0
2009-06-05,120.0
2009-06-08,120.0
2009-06-09,110.0
2009-06-10,110.0
2009-06-11,108.0
2009-06-12,100.0
2009-06-15,106.0
2009-06-16,110.0
2009-06-17,100.0
2009-06-18,90.0
2009-06-19,100.0
2009-06-22,100.0
2009-06-23,110.0
2009-06-24,104.0
2009-06-25,100.0
2009-06-26,106.0
2009-06-29,102.0
2009-06-30,100.0
2009-07-01,98.0
2009-07-02,96.0
2009-07-06,62.0
2009-07-07,80.0
2009-07-08,80.0
2009-07-09,76.0
2009-07-10,88.0
2009-07-13,90.0
2009-07-14,90.0
2009-07-15,90.0
2009-07-16,90.0
2009-07-17,72.0
2009-07-20,66.0
2009-07-21,60.0
2009-07-22,88.0
2009-07-23,78.0
2009-07-24,72.0
2009-07-27,60.0
2009-07-28,60.0
2009-07-29,66.0
2009-07-30,80.0
2009-07-31,100.0
2009-08-03,102.0
2009-08-04,84.0
2009-08-05,80.0
2009-08-06,92.0
2009-08-07,90.0
2009-08-10,80.0
2009-08-11,90.0
2009-08-12,86.0
2009-08-13,80.0
2009-08-14,82.0
2009-08-17,78.0
2009-08-18,76.0
2009-08-19,74.0
2009-08-20,78.0
2009-08-21,74.0
2009-08-24,78.0
2009-08-25,74.0
2009-08-26,74.0
2009-08-27,74.0
2009-08-28,76.0
2009-08-31,86.0
2009-09-01,98.0
2009-09-02,92.0
2009-09-03,80.0
2009-09-04,88.0
2009-09-08,90.0
2009-09-09,78.0
2009-09-10,78.0
2009-09-11,88.0
2009-09-14,76.0
2009-09-15,84.0
2009-09-16,86.0
2009-09-17,86.0
2009-09-18,74.0
2009-09-21,80.0
2009-09-22,88.0
2009-09-23,84.0
2009-09-24,84.0
2009-09-25,92.0
2009-09-28,94.0
2009-09-29,90.0
2009-09-30,88.0
2009-10-01,86.0
2009-10-02,80.0
2009-10-05,74.0
2009-10-06,80.0
2009-10-07,76.0
2009-10-08,74.0
2009-10-09,70.0
2009-10-12,76.0
2009-10-13,76.0
2009-10-14,80.0
2009-10-15,80.0
2009-10-16,72.0
2009-10-19,76.0
2009-10-20,84.0
2009-10-21,94.0
2009-10-22,88.0
2009-10-23,92.0
2009-10-26,98.0
2009-10-27,86.0
2009-10-28,80.0
2009-10-29,72.0
2009-10-30,72.0
2009-11-02,80.0
2009-11-03,78.0
2009-11-04,72.0
2009-11-05,68.0
2009-11-06,80.0
2009-11-09,80.0
2009-11-10,74.0
2009-11-11,78.0
2009-11-12,64.0
2009-11-13,70.0
2009-11-16,66.0
2009-11-17,70.0
2009-11-18,70.0
2009-11-19,66.0
2009-11-20,58.0
2009-11-23,60.0
2009-11-24,56.0
2009-11-25,54.0
2009-11-27,58.0
2009-11-30,60.0
2009-12-01,56.0
2009-12-02,54.0
2009-12-03,54.0
2009-12-04,60.0
2009-12-07,54.0
2009-12-08,54.0
2009-12-09,46.0
2009-12-10,58.0
2009-12-11,58.0
2009-12-14,56.0
2009-12-15,50.0
2009-12-16,50.0
2009-12-17,50.0
2009-12-18,50.0
2009-12-21,50.0
2009-12-22,44.0
2009-12-23,50.0
2009-12-24,42.0
2009-12-28,38.0
2009-12-29,40.0
2009-12-30,38.0
2009-12-31,38.0
2010-01-04,40.0
2010-01-05,42.0
2010-01-06,44.0
2010-01-07,46.0
2010-01-08,46.0
2010-01-11,60.0
2010-01-12,60.0
2010-01-13,50.0
2010-01-14,48.0
2010-01-15,54.0
2010-01-19,52.0
2010-01-20,50.0
2010-01-21,52.0
2010-01-22,50.0
2010-01-25,50.0
2010-01-26,52.0
2010-01-27,52.0
2010-01-28,52.0
2010-01-29,54.0
2010-02-01,52.0
2010-02-02,52.0
2010-02-03,60.0
2010-02-04,62.0
2010-02-05,60.0
2010-02-08,66.0
2010-02-09,72.0
2010-02-10,72.0
2010-02-11,78.0
2010-02-12,72.0
2010-02-16,60.0
2010-02-17,60.0
2010-02-18,68.0
2010-02-19,62.0
2010-02-22,68.0
2010-02-23,64.0
2010-02-24,60.0
2010-02-25,58.0
2010-02-26,64.0
2010-03-01,70.0
2010-03-02,70.0
2010-03-03,74.0
2010-03-04,68.0
2010-03-05,60.0
2010-03-08,60.0
2010-03-09,60.0
2010-03-10,58.0
2010-03-11,60.0
2010-03-12,56.0
2010-03-15,56.0
2010-03-16,56.0
2010-03-17,56.0
2010-03-18,56.0
2010-03-19,54.0
2010-03-22,50.0
2010-03-23,52.0
2010-03-24,58.0
2010-03-25,58.0
2010-03-26,60.0
2010-03-29,60.0
2010-03-30,58.0
2010-03-31,62.0
2010-04-01,66.0
2010-04-05,74.0
2010-04-06,80.0
2010-04-07,70.0
2010-04-08,68.0
2010-04-09,64.0
2010-04-12,62.0
2010-04-13,62.0
2010-04-14,62.0
2010-04-15,64.0
2010-04-16,64.0
2010-04-19,70.0
2010-04-20,68.0
2010-04-21,62.0
2010-04-22,62.0
2010-04-23,68.0
2010-04-26,58.0
2010-04-27,60.0
2010-04-28,58.0
2010-04-29,60.0
2010-04-30,58.0
2010-05-03,58.0
2010-05-04,58.0
2010-05-05,58.0
2010-05-06,56.0
2010-05-07,56.0
2010-05-10,58.0
2010-05-11,56.0
2010-05-12,56.0
2010-05-13,56.0
2010-05-14,56.0
2010-05-17,52.0
2010-05-18,52.0
2010-05-19,46.0
2010-05-20,44.0
2010-05-21,46.0
2010-05-24,48.0
2010-05-25,52.0
2010-05-26,52.0
2010-05-27,52.0
2010-05-28,50.0
2010-06-01,42.0
2010-06-02,44.0
2010-06-03,48.0
2010-06-04,46.0
2010-06-07,40.0
2010-06-08,46.0
2010-06-09,40.0
2010-06-10,42.0
2010-06-11,40.0
2010-06-14,46.0
2010-06-15,40.0
2010-06-16,40.0
2010-06-17,40.0
2010-06-18,40.0
2010-06-21,40.0
2010-06-22,40.0
2010-06-23,40.0
2010-06-24,40.0
2010-06-25,34.0
2010-06-28,34.0
2010-06-29,32.0
2010-06-30,34.0
2010-07-01,30.0
2010-07-02,44.0
2010-07-06,34.0
2010-07-07,34.0
2010-07-08,32.0
2010-07-09,32.0
2010-07-12,40.0
2010-07-13,40.0
2010-07-14,42.0
2010-07-15,40.0
2010-07-16,40.0
2010-07-19,30.0
2010-07-20,30.0
2010-07-21,30.0
2010-07-22,30.0
2010-07-23,30.0
2010-07-26,30.0
2010-07-27,22.0
2010-07-28,24.0
2010-07-29,28.0
2010-07-30,26.0
2010-08-02,30.0
2010-08-03,30.0
2010-08-04,30.0
2010-08-05,30.0
2010-08-06,30.0
2010-08-09,30.0
2010-08-10,42.0
2010-08-11,30.0
2010-08-12,30.0
2010-08-13,22.0
2010-08-16,22.0
2010-08-17,26.0
2010-08-18,26.0
2010-08-19,26.0
2010-08-20,30.0
2010-08-23,28.0
2010-08-24,26.0
2010-08-25,26.0
2010-08-26,20.0
2010-08-27,28.0
2010-08-30,28.0
2010-08-31,20.0
2010-09-01,20.0
2010-09-02,20.0
2010-09-03,20.0
2010-09-07,20.0
2010-09-08,20.0
2010-09-09,18.0
2010-09-10,22.0
2010-09-13,28.0
2010-09-14,22.0
2010-09-15,20.0
2010-09-16,20.0
2010-09-17,20.0
2010-09-20,20.0
2010-09-21,20.0
2010-09-22,20.0
2010-09-23,18.0
2010-09-24,20.0
2010-09-27,22.0
2010-09-28,26.0
2010-09-29,22.0
2010-09-30,20.0
2010-10-01,22.0
2010-10-04,24.0
2010-10-05,20.0
2010-10-06,24.0
2010-10-07,24.0
2010-10-08,24.0
2010-10-11,24.0
2010-10-12,20.0
2010-10-13,20.0
2010-10-14,18.0
2010-10-15,16.0
2010-10-18,20.0
2010-10-19,20.0
2010-10-20,18.0
2010-10-21,22.0
2010-10-22,22.0
2010-10-25,20.0
2010-10-26,20.0
2010-10-27,20.0
2010-10-28,20.0
2010-10-29,20.0
2010-11-01,20.0
2010-11-02,20.0
2010-11-03,26.0
2010-11-04,26.0
2010-11-05,20.0
2010-11-08,22.0
2010-11-09,20.0
2010-11-10,22.0
2010-11-11,18.0
2010-11-12,18.0
2010-11-15,18.0
2010-11-16,18.0
2010-11-17,20.0
2010-11-18,18.0
2010-11-19,20.0
2010-11-22,20.0
2010-11-23,18.0
2010-11-24,18.0
2010-11-26,20.0
2010-11-29,20.0
2010-11-30,18.0
2010-12-01,18.0
2010-12-02,20.0
2010-12-03,18.0
2010-12-06,18.0
2010-12-07,16.0
2010-12-08,20.0
2010-12-09,20.0
2010-12-10,18.0
2010-12-13,16.0
2010-12-14,16.0
2010-12-15,16.0
2010-12-16,20.0
2010-12-17,20.0
2010-12-20,20.0
2010-12-21,16.0
2010-12-22,16.0
2010-12-23,20.0
2010-12-27,18.0
2010-12-28,20.0
2010-12-29,18.0
2010-12-30,18.0
2010-12-31,20.0
2011-01-03,20.0
2011-01-04,18.0
2011-01-05,18.0
2011-01-06,18.0
2011-01-07,18.0
2011-01-10,20.0
2011-01-11,20.0
2011-01-12,20.0
2011-01-13,20.0
2011-01-14,20.0
2011-01-18,18.0
2011-01-19,18.0
2011-01-20,18.0
2011-01-21,16.0
2011-01-24,16.0
2011-01-25,18.0
2011-01-26,18.0
2011-01-27,20.0
2011-01-28,20.0
2011-01-31,20.0
2011-02-01,16.0
2011-02-02,20.0
2011-02-03,20.0
2011-02-04,20.0
2011-02-07,20.0
2011-02-08,20.0
2011-02-09,20.0
2011-02-10,20.0
2011-02-11,20.0
2011-02-14,18.0
2011-02-15,18.0
2011-02-16,18.0
2011-02-17,18.0
2011-02-18,18.0
2011-02-22,20.0
2011-02-23,16.0
2011-02-24,16.0
2011-02-25,16.0
2011-02-28,16.0
2011-03-01,16.0
2011-03-02,16.0
2011-03-03,16.0
2011-03-04,16.0
2011-03-07,16.0
2011-03-08,16.0
2011-03-09,16.0
2011-03-10,26.0
2011-03-11,16.0
2011-03-14,16.0
2011-03-15,16.0
2011-03-16,16.0
2011-03-17,16.0
2011-03-18,16.0
2011-03-21,16.0
2011-03-22,16.0
2011-03-23,16.0
2011-03-24,16.0
2011-03-25,16.0
2011-03-28,16.0
2011-03-29,20.0
2011-03-30,20.0
2011-03-31,16.0
2011-04-01,16.0
2011-04-04,16.0
2011-04-05,16.0
2011-04-06,16.0
2011-04-07,16.0
2011-04-08,16.0
2011-04-11,16.0
2011-04-12,16.0
2011-04-13,16.0
2011-04-14,14.0
2011-04-15,14.0
2011-04-18,14.0
2011-04-19,20.0
2011-04-20,14.0
2011-04-21,14.0
2011-04-25,20.0
2011-04-26,20.0
2011-04-27,20.0
2011-04-28,14.0
2011-04-29,14.0
2011-05-02,14.0
2011-05-03,14.0
2011-05-04,14.0
2011-05-05,12.0
2011-05-06,12.0
2011-05-09,12.0
2011-05-10,12.0
2011-05-11,12.0
2011-05-12,12.0
2011-05-13,10.0
2011-05-16,10.0
2011-05-17,10.0
2011-05-18,14.0
2011-05-19,14.0
2011-05-20,14.0
2011-05-23,14.0
2011-05-24,14.0
2011-05-25,14.0
2011-05-26,14.0
2011-05-27,14.0
2011-05-31,14.0
2011-06-01,14.0
2011-06-02,14.0
2011-06-03,14.0
2011-06-06,10.0
2011-06-07,10.0
2011-06-08,10.0
2011-06-09,10.0
2011-06-10,10.0
2011-06-13,10.0
2011-06-14,10.0
2011-06-15,10.0
2011-06-16,10.0
2011-06-17,10.0
2011-06-20,10.0
2011-06-21,14.0
2011-06-22,14.0
2011-06-23,10.0
2011-06-24,10.0
2011-06-27,14.0
2011-06-28,14.0
2011-06-29,12.0
2011-06-30,12.0
2011-07-01,18.0
2011-07-05,22.0
2011-07-06,30.0
2011-07-07,40.0
2011-07-08,36.0
2011-07-11,36.0
2011-07-12,40.0
2011-07-13,40.0
2011-07-14,48.0
2011-07-15,42.0
2011-07-18,50.0
2011-07-19,48.0
2011-07-20,48.0
2011-07-21,48.0
2011-07-22,36.0
2011-07-25,40.0
2011-07-26,36.0
2011-07-27,34.0
2011-07-28,34.0
2011-07-29,38.0
2011-08-01,32.0
2011-08-02,38.0
2011-08-03,38.0
2011-08-04,38.0
2011-08-05,38.0
2011-08-08,38.0
2011-08-09,30.0
2011-08-10,34.0
2011-08-11,34.0
2011-08-12,34.0
2011-08-15,34.0
2011-08-16,34.0
2011-08-17,24.0
2011-08-18,24.0
2011-08-19,24.0
2011-08-22,24.0
2011-08-23,34.0
2011-08-24,34.0
2011-08-25,34.0
2011-08-26,46.0
2011-08-29,46.0
2011-08-30,44.0
2011-08-31,44.0
2011-09-01,44.0
2011-09-02,36.0
2011-09-06,36.0
2011-09-07,30.0
2011-09-08,30.0
2011-09-09,30.0
2011-09-12,30.0
2011-09-13,30.0
2011-09-14,36.0
2011-09-15,36.0
2011-09-16,36.0
2011-09-19,36.0
2011-09-20,36.0
2011-09-21,36.0
2011-09-22,36.0
2011-09-23,36.0
2011-09-26,36.0
2011-09-27,26.0
2011-09-28,30.0
2011-09-29,30.0
2011-09-30,30.0
2011-10-03,28.0
2011-10-04,22.0
2011-10-05,22.0
2011-10-06,28.0
2011-10-07,34.0
2011-10-10,26.0
2011-10-11,26.0
2011-10-12,26.0
2011-10-13,26.0
2011-10-14,28.0
2011-10-17,30.0
2011-10-18,28.0
2011-10-19,30.0
2011-10-20,30.0
2011-10-21,30.0
2011-10-24,28.0
2011-10-25,28.0
2011-10-26,28.0
2011-10-27,26.0
2011-10-28,26.0
2011-10-31,30.0
2011-11-01,36.0
2011-11-02,36.0
2011-11-03,32.0
2011-11-04,26.0
2011-11-07,26.0
2011-11-08,26.0
2011-11-09,26.0
2011-11-10,26.0
2011-11-11,26.0
2011-11-14,26.0
2011-11-15,24.0
