,BPTH
2009-05-19,50.0
2009-05-20,50.0
2009-05-21,50.0
2009-05-22,42.0
2009-05-26,58.0
2009-05-27,52.0
2009-05-28,62.0
2009-05-29,62.0
2009-06-01,62.0
2009-06-02,62.0
2009-06-03,42.0
2009-06-04,38.0
2009-06-05,38.0
2009-06-08,38.0
2009-06-09,40.0
2009-06-10,36.0
2009-06-11,50.0
2009-06-12,50.0
2009-06-15,54.0
2009-06-16,54.0
2009-06-17,54.0
2009-06-18,50.0
2009-06-19,50.0
2009-06-22,50.0
2009-06-23,50.0
2009-06-24,50.0
2009-06-25,30.0
2009-06-26,46.0
2009-06-29,46.0
2009-06-30,50.0
2009-07-01,50.0
2009-07-02,50.0
2009-07-06,40.0
2009-07-07,40.0
2009-07-08,36.0
2009-07-09,40.0
2009-07-10,40.0
2009-07-13,30.0
2009-07-14,30.0
2009-07-15,38.0
2009-07-16,38.0
2009-07-17,38.0
2009-07-20,36.0
2009-07-21,36.0
2009-07-22,30.0
2009-07-23,36.0
2009-07-24,40.0
2009-07-27,30.0
2009-07-28,30.0
2009-07-29,40.0
2009-07-30,34.0
2009-07-31,32.0
2009-08-03,26.0
2009-08-04,26.0
2009-08-05,30.0
2009-08-06,28.0
2009-08-07,32.0
2009-08-10,32.0
2009-08-11,36.0
2009-08-12,26.0
2009-08-13,26.0
2009-08-14,30.0
2009-08-17,30.0
2009-08-18,30.0
2009-08-19,30.0
2009-08-20,28.0
2009-08-21,28.0
2009-08-24,26.0
2009-08-25,26.0
2009-08-26,26.0
2009-08-27,24.0
2009-08-28,24.0
2009-08-31,30.0
2009-09-01,32.0
2009-09-02,30.0
2009-09-03,30.0
2009-09-04,36.0
2009-09-08,50.0
2009-09-09,50.0
2009-09-10,50.0
2009-09-11,50.0
2009-09-14,50.0
2009-09-15,50.0
2009-09-16,84.0
2009-09-17,60.0
2009-09-18,62.0
2009-09-21,58.0
2009-09-22,74.0
2009-09-23,76.0
2009-09-24,74.0
2009-09-25,70.0
2009-09-28,70.0
2009-09-29,72.0
2009-09-30,66.0
2009-10-01,66.0
2009-10-02,60.0
2009-10-05,70.0
2009-10-06,66.0
2009-10-07,80.0
2009-10-08,90.0
2009-10-09,82.0
2009-10-12,60.0
2009-10-13,74.0
2009-10-14,88.0
2009-10-15,76.0
2009-10-16,88.0
2009-10-19,80.0
2009-10-20,76.0
2009-10-21,80.0
2009-10-22,78.0
2009-10-23,82.0
2009-10-26,80.0
2009-10-27,76.0
2009-10-28,76.0
2009-10-29,76.0
2009-10-30,70.0
2009-11-02,66.0
2009-11-03,80.0
2009-11-04,80.0
2009-11-05,80.0
2009-11-06,72.0
2009-11-09,88.0
2009-11-10,80.0
2009-11-11,80.0
2009-11-12,90.0
2009-11-13,96.0
2009-11-16,78.0
2009-11-17,100.0
2009-11-18,104.0
2009-11-19,100.0
2009-11-20,100.0
2009-11-23,90.0
2009-11-24,92.0
2009-11-25,84.0
2009-11-27,90.0
2009-11-30,90.0
2009-12-01,90.0
2009-12-02,90.0
2009-12-03,84.0
2009-12-04,90.0
2009-12-07,90.0
2009-12-08,90.0
2009-12-09,94.0
2009-12-10,94.0
2009-12-11,94.0
2009-12-14,80.0
2009-12-15,80.0
2009-12-16,86.0
2009-12-17,86.0
2009-12-18,86.0
2009-12-21,86.0
2009-12-22,86.0
2009-12-23,86.0
2009-12-24,86.0
2009-12-28,86.0
2009-12-29,86.0
2009-12-30,86.0
2009-12-31,86.0
2010-01-04,86.0
2010-01-05,86.0
2010-01-06,86.0
2010-01-07,86.0
2010-01-08,86.0
2010-01-11,86.0
2010-01-12,86.0
2010-01-13,82.0
2010-01-14,82.0
2010-01-15,82.0
2010-01-19,82.0
2010-01-20,82.0
2010-01-21,82.0
2010-01-22,74.0
2010-01-25,68.0
2010-01-26,68.0
2010-01-27,70.0
2010-01-28,70.0
2010-01-29,70.0
2010-02-01,70.0
2010-02-02,70.0
2010-02-03,78.0
2010-02-04,78.0
2010-02-05,78.0
2010-02-08,70.0
2010-02-09,70.0
2010-02-10,70.0
2010-02-11,70.0
2010-02-12,70.0
2010-02-16,70.0
2010-02-17,70.0
2010-02-18,70.0
2010-02-19,74.0
2010-02-22,78.0
2010-02-23,70.0
2010-02-24,68.0
2010-02-25,68.0
2010-02-26,72.0
2010-03-01,50.0
2010-03-02,64.0
2010-03-03,84.0
2010-03-04,70.0
2010-03-05,70.0
2010-03-08,94.0
2010-03-09,94.0
2010-03-10,70.0
2010-03-11,84.0
2010-03-12,100.0
2010-03-15,120.0
2010-03-16,110.0
2010-03-17,102.0
2010-03-18,90.0
2010-03-19,102.0
2010-03-22,102.0
2010-03-23,102.0
2010-03-24,100.0
2010-03-25,100.0
2010-03-26,102.0
2010-03-29,96.0
2010-03-30,94.0
2010-03-31,92.0
2010-04-01,94.0
2010-04-05,94.0
2010-04-06,94.0
2010-04-07,94.0
2010-04-08,94.0
2010-04-09,94.0
2010-04-12,96.0
2010-04-13,92.0
2010-04-14,92.0
2010-04-15,88.0
2010-04-16,92.0
2010-04-19,92.0
2010-04-20,90.0
2010-04-21,92.0
2010-04-22,92.0
2010-04-23,92.0
2010-04-26,90.0
2010-04-27,90.0
2010-04-28,82.0
2010-04-29,88.0
2010-04-30,88.0
2010-05-03,88.0
2010-05-04,88.0
2010-05-05,86.0
2010-05-06,86.0
2010-05-07,84.0
2010-05-10,84.0
2010-05-11,66.0
2010-05-12,86.0
2010-05-13,90.0
2010-05-14,90.0
2010-05-17,90.0
2010-05-18,90.0
2010-05-19,90.0
2010-05-20,88.0
2010-05-21,86.0
2010-05-24,86.0
2010-05-25,86.0
2010-05-26,84.0
2010-05-27,86.0
2010-05-28,92.0
2010-06-01,92.0
2010-06-02,92.0
2010-06-03,88.0
2010-06-04,86.0
2010-06-07,90.0
2010-06-08,90.0
2010-06-09,94.0
2010-06-10,90.0
2010-06-11,90.0
2010-06-14,90.0
2010-06-15,90.0
2010-06-16,86.0
2010-06-17,86.0
2010-06-18,80.0
2010-06-21,80.0
2010-06-22,86.0
2010-06-23,86.0
2010-06-24,88.0
2010-06-25,80.0
2010-06-28,80.0
2010-06-29,80.0
2010-06-30,80.0
2010-07-01,80.0
2010-07-02,80.0
2010-07-06,80.0
2010-07-07,80.0
2010-07-08,80.0
2010-07-09,80.0
2010-07-12,80.0
2010-07-13,72.0
2010-07-14,76.0
2010-07-15,74.0
2010-07-16,76.0
2010-07-19,78.0
2010-07-20,76.0
2010-07-21,70.0
2010-07-22,70.0
2010-07-23,80.0
2010-07-26,80.0
2010-07-27,80.0
2010-07-28,80.0
2010-07-29,76.0
2010-07-30,86.0
2010-08-02,76.0
2010-08-03,80.0
2010-08-04,80.0
2010-08-05,80.0
2010-08-06,80.0
2010-08-09,84.0
2010-08-10,82.0
2010-08-11,80.0
2010-08-12,80.0
2010-08-13,82.0
2010-08-16,78.0
2010-08-17,84.0
2010-08-18,84.0
2010-08-19,84.0
2010-08-20,84.0
2010-08-23,80.0
2010-08-24,84.0
2010-08-25,84.0
2010-08-26,82.0
2010-08-27,90.0
2010-08-30,90.0
2010-08-31,84.0
2010-09-01,80.0
2010-09-02,80.0
2010-09-03,78.0
2010-09-07,78.0
2010-09-08,78.0
2010-09-09,80.0
2010-09-10,82.0
2010-09-13,80.0
2010-09-14,80.0
2010-09-15,80.0
2010-09-16,80.0
2010-09-17,78.0
2010-09-20,78.0
2010-09-21,78.0
2010-09-22,78.0
2010-09-23,78.0
2010-09-24,78.0
2010-09-27,76.0
2010-09-28,76.0
2010-09-29,70.0
2010-09-30,80.0
2010-10-01,80.0
2010-10-04,82.0
2010-10-05,78.0
2010-10-06,80.0
2010-10-07,84.0
2010-10-08,80.0
2010-10-11,78.0
2010-10-12,78.0
2010-10-13,78.0
2010-10-14,76.0
2010-10-15,70.0
2010-10-18,70.0
2010-10-19,70.0
2010-10-20,76.0
2010-10-21,76.0
2010-10-22,76.0
2010-10-25,80.0
2010-10-26,80.0
2010-10-27,76.0
2010-10-28,76.0
2010-10-29,78.0
2010-11-01,84.0
2010-11-02,76.0
2010-11-03,76.0
2010-11-04,76.0
2010-11-05,76.0
2010-11-08,74.0
2010-11-09,82.0
2010-11-10,82.0
2010-11-11,82.0
2010-11-12,82.0
2010-11-15,72.0
2010-11-16,82.0
2010-11-17,82.0
2010-11-18,82.0
2010-11-19,70.0
2010-11-22,70.0
2010-11-23,72.0
2010-11-24,72.0
2010-11-26,76.0
2010-11-29,72.0
2010-11-30,72.0
2010-12-01,74.0
2010-12-02,72.0
2010-12-03,82.0
2010-12-06,82.0
2010-12-07,82.0
2010-12-08,82.0
2010-12-09,80.0
2010-12-10,80.0
2010-12-13,70.0
2010-12-14,70.0
2010-12-15,70.0
2010-12-16,70.0
2010-12-17,70.0
2010-12-20,74.0
2010-12-21,74.0
2010-12-22,74.0
2010-12-23,72.0
2010-12-27,72.0
2010-12-28,72.0
2010-12-29,72.0
2010-12-30,72.0
2010-12-31,70.0
2011-01-03,70.0
2011-01-04,80.0
2011-01-05,72.0
2011-01-06,80.0
2011-01-07,84.0
2011-01-10,84.0
2011-01-11,80.0
2011-01-12,88.0
2011-01-13,82.0
2011-01-14,78.0
2011-01-18,104.0
2011-01-19,82.0
2011-01-20,90.0
2011-01-21,98.0
2011-01-24,90.0
2011-01-25,86.0
2011-01-26,86.0
2011-01-27,100.0
2011-01-28,96.0
2011-01-31,82.0
2011-02-01,98.0
2011-02-02,96.0
2011-02-03,96.0
2011-02-04,90.0
2011-02-07,100.0
2011-02-08,106.0
2011-02-09,108.0
2011-02-10,108.0
2011-02-11,102.0
2011-02-14,102.0
2011-02-15,106.0
2011-02-16,106.0
2011-02-17,106.0
2011-02-18,106.0
2011-02-22,110.0
2011-02-23,100.0
2011-02-24,92.0
2011-02-25,90.0
2011-02-28,100.0
2011-03-01,100.0
2011-03-02,90.0
2011-03-03,82.0
2011-03-04,102.0
2011-03-07,100.0
2011-03-08,102.0
2011-03-09,100.0
2011-03-10,102.0
2011-03-11,102.0
2011-03-14,102.0
2011-03-15,94.0
2011-03-16,100.0
2011-03-17,100.0
2011-03-18,100.0
2011-03-21,84.0
2011-03-22,96.0
2011-03-23,86.0
2011-03-24,82.0
2011-03-25,82.0
2011-03-28,70.0
2011-03-29,80.0
2011-03-30,90.0
2011-03-31,84.0
2011-04-01,82.0
2011-04-04,78.0
2011-04-05,84.0
2011-04-06,82.0
2011-04-07,80.0
2011-04-08,72.0
2011-04-11,82.0
2011-04-12,82.0
2011-04-13,80.0
2011-04-14,72.0
2011-04-15,72.0
2011-04-18,72.0
2011-04-19,72.0
2011-04-20,72.0
2011-04-21,76.0
2011-04-25,70.0
2011-04-26,70.0
2011-04-27,82.0
2011-04-28,82.0
2011-04-29,82.0
2011-05-02,82.0
2011-05-03,82.0
2011-05-04,72.0
2011-05-05,70.0
2011-05-06,70.0
2011-05-09,70.0
2011-05-10,80.0
2011-05-11,76.0
2011-05-12,74.0
2011-05-13,70.0
2011-05-16,74.0
2011-05-17,70.0
2011-05-18,74.0
2011-05-19,70.0
2011-05-20,76.0
2011-05-23,70.0
2011-05-24,70.0
2011-05-25,74.0
2011-05-26,74.0
2011-05-27,70.0
2011-05-31,76.0
2011-06-01,64.0
2011-06-02,70.0
2011-06-03,66.0
2011-06-06,66.0
2011-06-07,66.0
2011-06-08,68.0
2011-06-09,60.0
2011-06-10,62.0
2011-06-13,68.0
2011-06-14,66.0
2011-06-15,66.0
2011-06-16,66.0
2011-06-17,66.0
2011-06-20,64.0
2011-06-21,62.0
2011-06-22,62.0
2011-06-23,60.0
2011-06-24,66.0
2011-06-27,66.0
2011-06-28,60.0
2011-06-29,62.0
2011-06-30,62.0
2011-07-01,70.0
2011-07-05,68.0
2011-07-06,68.0
2011-07-07,62.0
2011-07-08,62.0
2011-07-11,64.0
2011-07-12,62.0
2011-07-13,68.0
2011-07-14,60.0
2011-07-15,60.0
2011-07-18,64.0
2011-07-19,60.0
2011-07-20,60.0
2011-07-21,64.0
2011-07-22,54.0
2011-07-25,56.0
2011-07-26,56.0
2011-07-27,52.0
2011-07-28,56.0
2011-07-29,60.0
2011-08-01,60.0
2011-08-02,66.0
2011-08-03,66.0
2011-08-04,70.0
2011-08-05,78.0
2011-08-08,78.0
2011-08-09,86.0
2011-08-10,78.0
2011-08-11,100.0
2011-08-12,84.0
2011-08-15,72.0
2011-08-16,84.0
2011-08-17,82.0
2011-08-18,80.0
2011-08-19,80.0
2011-08-22,78.0
2011-08-23,78.0
2011-08-24,80.0
2011-08-25,76.0
2011-08-26,76.0
2011-08-29,76.0
2011-08-30,64.0
2011-08-31,70.0
2011-09-01,70.0
2011-09-02,66.0
2011-09-06,70.0
2011-09-07,64.0
2011-09-08,70.0
2011-09-09,70.0
2011-09-12,70.0
2011-09-13,70.0
2011-09-14,80.0
2011-09-15,78.0
2011-09-16,78.0
2011-09-19,66.0
2011-09-20,66.0
2011-09-21,78.0
2011-09-22,78.0
2011-09-23,78.0
2011-09-26,74.0
2011-09-27,68.0
2011-09-28,68.0
2011-09-29,70.0
2011-09-30,70.0
2011-10-03,70.0
2011-10-04,70.0
2011-10-05,70.0
2011-10-06,68.0
2011-10-07,68.0
2011-10-10,68.0
2011-10-11,68.0
2011-10-12,66.0
2011-10-13,66.0
2011-10-14,70.0
2011-10-17,68.0
2011-10-18,62.0
2011-10-19,68.0
2011-10-20,68.0
2011-10-21,68.0
2011-10-24,66.0
2011-10-25,66.0
2011-10-26,66.0
2011-10-27,66.0
2011-10-28,66.0
2011-10-31,64.0
2011-11-01,68.0
2011-11-02,60.0
2011-11-03,60.0
2011-11-04,68.0
2011-11-07,70.0
2011-11-08,70.0
2011-11-09,60.0
2011-11-10,68.0
2011-11-11,68.0
2011-11-14,68.0
2011-11-15,60.0
2011-11-16,60.0
2011-11-17,68.0
2011-11-18,60.0
2011-11-21,68.0
2011-11-22,68.0
2011-11-23,62.0
2011-11-25,68.0
2011-11-28,68.0
2011-11-29,62.0
2011-11-30,62.0
2011-12-01,62.0
2011-12-02,70.0
2011-12-05,60.0
2011-12-06,60.0
2011-12-07,66.0
2011-12-08,68.0
2011-12-09,66.0
2011-12-12,66.0
2011-12-13,58.0
2011-12-14,58.0
2011-12-15,58.0
2011-12-16,58.0
2011-12-19,58.0
2011-12-20,58.0
2011-12-21,66.0
2011-12-22,66.0
2011-12-23,66.0
2011-12-27,56.0
2011-12-28,70.0
2011-12-29,68.0
2011-12-30,70.0
2012-01-03,70.0
2012-01-04,64.0
2012-01-05,58.0
2012-01-06,50.0
2012-01-09,52.0
2012-01-10,52.0
2012-01-11,52.0
2012-01-12,50.0
2012-01-13,38.0
2012-01-17,40.0
2012-01-18,44.0
2012-01-19,44.0
2012-01-20,38.0
2012-01-23,42.0
2012-01-24,38.0
2012-01-25,34.0
2012-01-26,26.0
2012-01-27,40.0
2012-01-30,50.0
2012-01-31,50.0
2012-02-01,50.0
2012-02-02,66.0
2012-02-03,68.0
2012-02-06,70.0
2012-02-07,72.0
2012-02-08,72.0
2012-02-09,60.0
2012-02-10,70.0
2012-02-13,62.0
2012-02-14,62.0
2012-02-15,60.0
2012-02-16,70.0
2012-02-17,70.0
2012-02-21,70.0
2012-02-22,62.0
2012-02-23,62.0
2012-02-24,62.0
2012-02-27,62.0
2012-02-28,62.0
2012-02-29,68.0
2012-03-01,64.0
2012-03-02,68.0
2012-03-05,64.0
2012-03-06,60.0
2012-03-07,60.0
2012-03-08,66.0
2012-03-09,60.0
2012-03-12,66.0
2012-03-13,66.0
2012-03-14,66.0
2012-03-15,56.0
2012-03-16,56.0
2012-03-19,56.0
2012-03-20,62.0
2012-03-21,62.0
2012-03-22,66.0
2012-03-23,58.0
2012-03-26,68.0
2012-03-27,62.0
2012-03-28,60.0
2012-03-29,56.0
2012-03-30,62.0
2012-04-02,58.0
2012-04-03,58.0
2012-04-04,56.0
2012-04-05,58.0
2012-04-09,60.0
2012-04-10,54.0
2012-04-11,54.0
2012-04-12,54.0
2012-04-13,56.0
2012-04-16,56.0
2012-04-17,50.0
2012-04-18,58.0
2012-04-19,58.0
2012-04-20,62.0
2012-04-23,62.0
2012-04-24,60.0
2012-04-25,54.0
2012-04-26,54.0
2012-04-27,58.0
2012-04-30,58.0
2012-05-01,62.0
2012-05-02,62.0
2012-05-03,62.0
2012-05-04,62.0
2012-05-07,62.0
2012-05-08,62.0
2012-05-09,62.0
2012-05-10,68.0
2012-05-11,68.0
2012-05-14,64.0
2012-05-15,68.0
2012-05-16,68.0
2012-05-17,68.0
2012-05-18,58.0
2012-05-21,58.0
2012-05-22,76.0
2012-05-23,74.0
2012-05-24,68.0
2012-05-25,74.0
2012-05-29,74.0
2012-05-30,72.0
2012-05-31,72.0
2012-06-01,70.0
2012-06-04,76.0
2012-06-05,74.0
2012-06-06,72.0
2012-06-07,84.0
2012-06-08,84.0
2012-06-11,84.0
2012-06-12,84.0
2012-06-13,80.0
2012-06-14,62.0
2012-06-15,62.0
2012-06-18,62.0
2012-06-19,64.0
2012-06-20,80.0
2012-06-21,76.0
2012-06-22,78.0
2012-06-25,76.0
2012-06-26,74.0
2012-06-27,74.0
2012-06-28,76.0
2012-06-29,74.0
2012-07-02,74.0
2012-07-03,74.0
2012-07-05,80.0
2012-07-06,70.0
2012-07-09,76.0
2012-07-10,74.0
2012-07-11,80.0
2012-07-12,80.0
2012-07-13,80.0
2012-07-16,76.0
2012-07-17,80.0
2012-07-18,80.0
2012-07-19,80.0
2012-07-20,70.0
2012-07-23,68.0
2012-07-24,68.0
2012-07-25,66.0
2012-07-26,80.0
2012-07-27,80.0
2012-07-30,80.0
2012-07-31,76.0
2012-08-01,78.0
2012-08-02,76.0
2012-08-03,76.0
2012-08-06,76.0
2012-08-07,78.0
2012-08-08,78.0
2012-08-09,78.0
2012-08-10,78.0
2012-08-13,76.0
2012-08-14,74.0
2012-08-15,74.0
2012-08-16,72.0
2012-08-17,74.0
2012-08-20,78.0
2012-08-21,78.0
2012-08-22,84.0
2012-08-23,74.0
2012-08-24,70.0
2012-08-27,80.0
2012-08-28,78.0
2012-08-29,80.0
2012-08-30,82.0
2012-08-31,78.0
2012-09-04,78.0
2012-09-05,72.0
2012-09-06,76.0
2012-09-07,72.0
2012-09-10,72.0
2012-09-11,70.0
2012-09-12,70.0
2012-09-13,70.0
2012-09-14,80.0
2012-09-17,78.0
2012-09-18,72.0
2012-09-19,72.0
2012-09-20,80.0
2012-09-21,80.0
2012-09-24,82.0
2012-09-25,82.0
2012-09-26,80.0
2012-09-27,80.0
2012-09-28,74.0
2012-10-01,78.0
2012-10-02,78.0
2012-10-03,76.0
2012-10-04,78.0
2012-10-05,78.0
2012-10-08,78.0
2012-10-09,78.0
2012-10-10,74.0
2012-10-11,74.0
2012-10-12,82.0
2012-10-15,80.0
2012-10-16,78.0
2012-10-17,76.0
2012-10-18,74.0
2012-10-19,72.0
2012-10-22,74.0
2012-10-23,70.0
2012-10-24,70.0
2012-10-25,72.0
2012-10-26,70.0
2012-10-31,66.0
2012-11-01,72.0
2012-11-02,68.0
2012-11-05,70.0
2012-11-06,60.0
2012-11-07,64.0
2012-11-08,70.0
2012-11-09,72.0
2012-11-12,72.0
2012-11-13,62.0
2012-11-14,70.0
2012-11-15,62.0
2012-11-16,70.0
2012-11-19,62.0
2012-11-20,62.0
2012-11-21,70.0
2012-11-23,70.0
2012-11-26,60.0
2012-11-27,56.0
2012-11-28,58.0
2012-11-29,56.0
2012-11-30,56.0
2012-12-03,58.0
2012-12-04,60.0
2012-12-05,60.0
2012-12-06,64.0
2012-12-07,60.0
2012-12-10,70.0
2012-12-11,62.0
2012-12-12,62.0
2012-12-13,66.0
2012-12-14,66.0
2012-12-17,64.0
2012-12-18,64.0
2012-12-19,64.0
2012-12-20,70.0
2012-12-21,70.0
2012-12-24,70.0
2012-12-26,70.0
2012-12-27,70.0
2012-12-28,70.0
2012-12-31,70.0
2013-01-02,64.0
2013-01-03,72.0
2013-01-04,62.0
2013-01-07,66.0
2013-01-08,66.0
2013-01-09,66.0
2013-01-10,64.0
2013-01-11,68.0
2013-01-14,68.0
2013-01-15,68.0
2013-01-16,62.0
2013-01-17,70.0
2013-01-18,70.0
2013-01-22,68.0
2013-01-23,68.0
2013-01-24,68.0
2013-01-25,64.0
2013-01-28,66.0
2013-01-29,70.0
2013-01-30,68.0
2013-01-31,64.0
2013-02-01,60.0
2013-02-04,64.0
2013-02-05,70.0
2013-02-06,70.0
2013-02-07,70.0
2013-02-08,72.0
2013-02-11,66.0
2013-02-12,72.0
2013-02-13,70.0
2013-02-14,70.0
2013-02-15,70.0
2013-02-19,70.0
2013-02-20,70.0
2013-02-21,70.0
2013-02-22,70.0
2013-02-25,68.0
2013-02-26,70.0
2013-02-27,70.0
2013-02-28,70.0
2013-03-01,78.0
2013-03-04,70.0
2013-03-05,78.0
2013-03-06,72.0
2013-03-07,72.0
2013-03-08,76.0
2013-03-11,82.0
2013-03-12,72.0
2013-03-13,82.0
2013-03-14,80.0
2013-03-15,78.0
2013-03-18,78.0
2013-03-19,78.0
2013-03-20,80.0
