,FEV
2015-02-18,14.918000221252441
2015-02-19,15.319999694824219
2015-02-20,15.696000099182129
2015-02-23,15.819000244140625
2015-02-24,14.890999794006348
2015-02-25,15.006999969482422
2015-02-26,14.600000381469727
2015-02-27,14.477999687194824
2015-03-02,14.03499984741211
2015-03-03,13.288999557495117
2015-03-04,13.385000228881836
2015-03-05,13.822999954223633
2015-03-06,13.3149995803833
2015-03-09,13.99899959564209
2015-03-10,14.206999778747559
2015-03-11,14.444999694824219
2015-03-12,14.409000396728516
2015-03-13,14.33899974822998
2015-03-16,13.961999893188477
2015-03-17,13.710000038146973
2015-03-18,13.774999618530273
2015-03-19,13.663999557495117
2015-03-20,13.777000427246094
2015-03-23,13.84000015258789
2015-03-24,13.899999618530273
2015-03-25,
2015-03-26,
2015-03-27,
2015-03-30,
2015-03-31,
2015-04-01,
2015-04-02,
2015-04-06,
2015-04-07,
2015-04-08,
2015-04-09,
2015-04-10,
2015-04-13,
2015-04-14,
2015-04-15,12.944999694824219
2015-04-16,13.005000114440918
2015-04-17,13.114999771118164
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-01,
2015-05-04,13.595000267028809
2015-05-05,13.850000381469727
2015-05-06,
2015-05-07,
2015-05-08,
2015-05-11,
2015-05-12,
2015-05-13,
2015-05-14,
2015-05-15,
2015-05-18,
2015-05-19,
2015-05-20,13.9399995803833
2015-05-21,
2015-05-22,
2015-05-26,
2015-05-27,
2015-05-28,
2015-05-29,
2015-06-01,13.604999542236328
2015-06-02,13.604999542236328
2015-06-03,13.600000381469727
2015-06-04,13.600000381469727
2015-06-05,13.600000381469727
2015-06-08,
2015-06-09,
2015-06-10,
2015-06-11,
2015-06-12,
2015-06-15,
2015-06-16,
2015-06-17,
2015-06-18,
2015-06-19,
2015-06-22,
2015-06-23,
2015-06-24,
2015-06-25,
2015-06-26,
2015-06-29,
2015-06-30,
2015-07-01,
2015-07-02,
2015-07-06,13.369999885559082
2015-07-07,13.40999984741211
2015-07-08,13.397000312805176
2015-07-09,13.625
2015-07-10,13.649999618530273
2015-07-13,
2015-07-14,
2015-07-15,
2015-07-16,
2015-07-17,
2015-07-20,
2015-07-21,
2015-07-22,
2015-07-23,
2015-07-24,
2015-07-27,14.270000457763672
2015-07-28,14.199999809265137
2015-07-29,
2015-07-30,
2015-07-31,
2015-08-03,
2015-08-04,
2015-08-05,
2015-08-06,
2015-08-07,
2015-08-10,
2015-08-11,
2015-08-12,
2015-08-13,
2015-08-14,
2015-08-17,
2015-08-18,
2015-08-19,
2015-08-20,
2015-08-21,
2015-08-24,
2015-08-25,
2015-08-26,
2015-08-27,
2015-08-28,
2015-08-31,
2015-09-01,
2015-09-02,
2015-09-03,
2015-09-04,
2015-09-08,
2015-09-09,
2015-09-10,
2015-09-11,
2015-09-14,13.600000381469727
2015-09-15,13.699999809265137
2015-09-16,13.654999732971191
2015-09-17,13.59000015258789
2015-09-18,13.604999542236328
2015-09-21,13.619999885559082
2015-09-22,13.619999885559082
2015-09-23,13.619999885559082
2015-09-24,
2015-09-25,
2015-09-28,
2015-09-29,
2015-09-30,
2015-10-01,
2015-10-02,
2015-10-05,
2015-10-06,
2015-10-07,
2015-10-08,
2015-10-09,
2015-10-12,
2015-10-13,
2015-10-14,
2015-10-15,
2015-10-16,13.850000381469727
2015-10-19,13.850000381469727
2015-10-20,13.850000381469727
2015-10-21,13.699999809265137
2015-10-22,13.680000305175781
2015-10-23,13.875
2015-10-26,13.875
2015-10-27,13.699999809265137
2015-10-28,13.699999809265137
2015-10-29,
2015-10-30,
2015-11-02,
2015-11-03,13.640000343322754
2015-11-04,
2015-11-05,
2015-11-06,
2015-11-09,14.100000381469727
2015-11-10,14.100000381469727
2015-11-11,14.100000381469727
2015-11-12,14.149999618530273
2015-11-13,14.149999618530273
2015-11-16,14.199999809265137
2015-11-17,14.199999809265137
2015-11-18,14.104999542236328
2015-11-19,14.199999809265137
2015-11-20,14.100000381469727
2015-11-23,
2015-11-24,
2015-11-25,
2015-11-27,
2015-11-30,
2015-12-01,
2015-12-02,
2015-12-03,14.385000228881836
2015-12-04,14.399999618530273
2015-12-07,14.399999618530273
2015-12-08,14.399999618530273
2015-12-09,14.395000457763672
2015-12-10,14.255000114440918
2015-12-11,
2015-12-14,
2015-12-15,
2015-12-16,
2015-12-17,
2015-12-18,
2015-12-21,14.109999656677246
2015-12-22,14.109999656677246
2015-12-23,14.109999656677246
2015-12-24,14.109999656677246
2015-12-28,14.109999656677246
2015-12-29,14.154999732971191
2015-12-30,
2015-12-31,
2016-01-04,14.5
2016-01-05,
2016-01-06,
2016-01-07,
2016-01-08,14.305000305175781
2016-01-11,14.600000381469727
2016-01-12,14.324999809265137
2016-01-13,14.420000076293945
2016-01-14,14.420000076293945
2016-01-15,14.600000381469727
2016-01-19,14.545000076293945
2016-01-20,14.354999542236328
2016-01-21,14.204999923706055
2016-01-22,14.199999809265137
2016-01-25,14.199999809265137
2016-01-26,14.274999618530273
2016-01-27,14.21500015258789
2016-01-28,14.319999694824219
2016-01-29,14.3100004196167
2016-02-01,14.385000228881836
2016-02-02,14.385000228881836
2016-02-03,14.494999885559082
2016-02-04,14.494999885559082
2016-02-05,14.470000267028809
2016-02-08,14.470000267028809
2016-02-09,14.199999809265137
2016-02-10,14.25
2016-02-11,14.130000114440918
2016-02-12,14.350000381469727
2016-02-16,14.614999771118164
2016-02-17,14.9399995803833
2016-02-18,14.699999809265137
2016-02-19,14.125
2016-02-22,
2016-02-23,14.359999656677246
2016-02-24,
2016-02-25,13.975000381469727
2016-02-26,14.085000038146973
2016-02-29,
2016-03-01,14.149999618530273
2016-03-02,13.954999923706055
2016-03-03,14.149999618530273
2016-03-04,13.96500015258789
2016-03-07,14.149999618530273
2016-03-08,14.0649995803833
2016-03-09,14.130000114440918
2016-03-10,14.21500015258789
2016-03-11,14.21500015258789
2016-03-14,
2016-03-15,
2016-03-16,
2016-03-17,
2016-03-18,
2016-03-21,
2016-03-22,
2016-03-23,14.600000381469727
2016-03-24,
2016-03-28,
2016-03-29,
2016-03-30,
2016-03-31,
2016-04-01,
2016-04-04,14.414999961853027
2016-04-05,14.395000457763672
2016-04-06,14.510000228881836
2016-04-07,14.505000114440918
2016-04-08,14.505000114440918
2016-04-11,14.510000228881836
2016-04-12,14.510000228881836
2016-04-13,14.324999809265137
2016-04-14,14.350000381469727
2016-04-15,14.345000267028809
2016-04-18,14.5600004196167
2016-04-19,14.529999732971191
2016-04-20,14.380000114440918
2016-04-21,14.350000381469727
2016-04-22,14.359999656677246
2016-04-25,14.4399995803833
2016-04-26,14.295000076293945
2016-04-27,14.404999732971191
2016-04-28,14.479999542236328
2016-04-29,14.40999984741211
2016-05-02,14.4350004196167
2016-05-03,14.255000114440918
2016-05-04,14.319999694824219
2016-05-05,14.300000190734863
2016-05-06,14.3149995803833
2016-05-09,14.305000305175781
2016-05-10,14.420000076293945
2016-05-11,14.324999809265137
2016-05-12,14.324999809265137
2016-05-13,14.3149995803833
2016-05-16,
2016-05-17,
2016-05-18,
2016-05-19,
2016-05-20,
2016-05-23,
2016-05-24,
2016-05-25,
2016-05-26,14.449999809265137
2016-05-27,14.510000228881836
2016-05-31,14.595000267028809
2016-06-01,15.039999961853027
2016-06-02,14.9399995803833
2016-06-03,15.0600004196167
2016-06-06,15.21500015258789
2016-06-07,15.229999542236328
2016-06-08,15.274999618530273
2016-06-09,15.449999809265137
2016-06-10,15.239999771118164
2016-06-13,15.220000267028809
2016-06-14,14.9350004196167
2016-06-15,15.024999618530273
2016-06-16,15.005000114440918
2016-06-17,15.0
2016-06-20,15.0
2016-06-21,15.0
2016-06-22,14.975000381469727
2016-06-23,15.0
2016-06-24,14.899999618530273
2016-06-27,
2016-06-28,
2016-06-29,
2016-06-30,
2016-07-01,
2016-07-05,
2016-07-06,
2016-07-07,
2016-07-08,
2016-07-11,
2016-07-12,
2016-07-13,
2016-07-14,
2016-07-15,
2016-07-18,
2016-07-19,
2016-07-20,15.444999694824219
2016-07-21,15.574999809265137
2016-07-22,15.59000015258789
2016-07-25,
2016-07-26,
2016-07-27,
2016-07-28,
2016-07-29,
2016-08-01,
2016-08-02,
2016-08-03,15.6899995803833
2016-08-04,
2016-08-05,
2016-08-08,
2016-08-09,
2016-08-10,
2016-08-11,
2016-08-12,
2016-08-15,
2016-08-16,
2016-08-17,
2016-08-18,
2016-08-19,15.364999771118164
2016-08-22,15.510000228881836
2016-08-23,15.699999809265137
2016-08-24,15.510000228881836
2016-08-25,15.545000076293945
2016-08-26,15.510000228881836
2016-08-29,15.510000228881836
2016-08-30,15.510000228881836
2016-08-31,15.619999885559082
2016-09-01,15.649999618530273
2016-09-02,15.454999923706055
2016-09-06,15.59000015258789
2016-09-07,15.59000015258789
2016-09-08,15.574999809265137
2016-09-09,15.630000114440918
2016-09-12,15.630000114440918
2016-09-13,15.600000381469727
2016-09-14,15.600000381469727
2016-09-15,15.649999618530273
2016-09-16,15.600000381469727
2016-09-19,15.649999618530273
2016-09-20,15.649999618530273
2016-09-21,15.649999618530273
2016-09-22,15.6899995803833
2016-09-23,16.350000381469727
2016-09-26,16.235000610351562
2016-09-27,16.200000762939453
2016-09-28,16.18000030517578
2016-09-29,16.450000762939453
2016-09-30,16.59000015258789
2016-10-03,16.725000381469727
2016-10-04,16.65999984741211
2016-10-05,16.760000228881836
2016-10-06,16.834999084472656
2016-10-07,17.084999084472656
2016-10-10,16.850000381469727
2016-10-11,16.80500030517578
2016-10-12,16.729999542236328
2016-10-13,16.610000610351562
2016-10-14,16.625
2016-10-17,16.610000610351562
2016-10-18,16.6200008392334
2016-10-19,16.604999542236328
2016-10-20,16.68000030517578
2016-10-21,16.854999542236328
2016-10-24,16.68000030517578
2016-10-25,16.71500015258789
2016-10-26,16.809999465942383
2016-10-27,16.7450008392334
2016-10-28,16.610000610351562
2016-10-31,16.774999618530273
2016-11-01,16.440000534057617
2016-11-02,16.655000686645508
2016-11-03,16.354999542236328
2016-11-04,16.30500030517578
2016-11-07,16.454999923706055
2016-11-08,16.454999923706055
2016-11-09,16.0
2016-11-10,16.28499984741211
2016-11-11,16.2549991607666
2016-11-14,16.415000915527344
2016-11-15,16.354999542236328
2016-11-16,16.354999542236328
2016-11-17,16.415000915527344
2016-11-18,16.395000457763672
2016-11-21,16.604999542236328
2016-11-22,16.604999542236328
2016-11-23,16.604999542236328
2016-11-25,16.610000610351562
2016-11-28,16.770000457763672
2016-11-29,16.75
2016-11-30,16.954999923706055
2016-12-01,17.020000457763672
2016-12-02,16.989999771118164
2016-12-05,17.104999542236328
2016-12-06,17.260000228881836
2016-12-07,17.604999542236328
2016-12-08,17.604999542236328
2016-12-09,17.405000686645508
2016-12-12,17.799999237060547
2016-12-13,17.524999618530273
2016-12-14,17.610000610351562
2016-12-15,17.579999923706055
2016-12-16,17.600000381469727
2016-12-19,17.270000457763672
2016-12-20,17.545000076293945
2016-12-21,17.094999313354492
2016-12-22,17.31999969482422
2016-12-23,17.1200008392334
2016-12-27,17.149999618530273
2016-12-28,17.229999542236328
2016-12-29,17.774999618530273
2016-12-30,17.53499984741211
2017-01-03,17.7450008392334
2017-01-04,17.575000762939453
2017-01-05,17.75
2017-01-06,17.614999771118164
2017-01-09,17.59000015258789
2017-01-10,17.55500030517578
2017-01-11,17.575000762939453
2017-01-12,
2017-01-13,
2017-01-17,
2017-01-18,
2017-01-19,
2017-01-20,
2017-01-23,17.440000534057617
2017-01-24,17.864999771118164
2017-01-25,17.795000076293945
2017-01-26,17.829999923706055
2017-01-27,17.829999923706055
2017-01-30,17.65999984741211
2017-01-31,17.700000762939453
2017-02-01,17.65999984741211
2017-02-02,17.600000381469727
2017-02-03,17.71500015258789
2017-02-06,17.829999923706055
2017-02-07,17.68000030517578
2017-02-08,17.829999923706055
2017-02-09,17.520000457763672
2017-02-10,17.514999389648438
2017-02-13,
2017-02-14,
2017-02-15,
2017-02-16,
2017-02-17,
2017-02-21,
2017-02-22,
2017-02-23,
2017-02-24,
2017-02-27,
2017-02-28,
2017-03-01,
2017-03-02,
2017-03-03,
2017-03-06,
2017-03-07,
2017-03-08,
2017-03-09,
2017-03-10,16.989999771118164
2017-03-13,17.0
2017-03-14,17.104999542236328
2017-03-15,17.104999542236328
2017-03-16,16.954999923706055
2017-03-17,17.104999542236328
2017-03-20,16.829999923706055
2017-03-21,
2017-03-22,
2017-03-23,
2017-03-24,
2017-03-27,
2017-03-28,
2017-03-29,
2017-03-30,
2017-03-31,
2017-04-03,
2017-04-04,
2017-04-05,
2017-04-06,
2017-04-07,
2017-04-10,
2017-04-11,
2017-04-12,
2017-04-13,
2017-04-17,
2017-04-18,
2017-04-19,
2017-04-20,
2017-04-21,
2017-04-24,
2017-04-25,
2017-04-26,
2017-04-27,
2017-04-28,
2017-05-01,
2017-05-02,
2017-05-03,
2017-05-04,
2017-05-05,
2017-05-08,
2017-05-09,
2017-05-10,
2017-05-11,
2017-05-12,
2017-05-15,
2017-05-16,
2017-05-17,
2017-05-18,
2017-05-19,
2017-05-22,
2017-05-23,
2017-05-24,
2017-05-25,
2017-05-26,
2017-05-30,
2017-05-31,
2017-06-01,
2017-06-02,
2017-06-05,
2017-06-06,
2017-06-07,
2017-06-08,
2017-06-09,
2017-06-12,
2017-06-13,
2017-06-14,
2017-06-15,
2017-06-16,
2017-06-19,
2017-06-20,
2017-06-21,
2017-06-22,
2017-06-23,
2017-06-26,
2017-06-27,
2017-06-28,
2017-06-29,
2017-06-30,
2017-07-03,
2017-07-05,
2017-07-06,
2017-07-07,
2017-07-10,
2017-07-11,
2017-07-12,
2017-07-13,
2017-07-14,
2017-07-17,
2017-07-18,
2017-07-19,
2017-07-20,
2017-07-21,
2017-07-24,
2017-07-25,
2017-07-26,
2017-07-27,
2017-07-28,
2017-07-31,
2017-08-01,
2017-08-02,
2017-08-03,
2017-08-04,
2017-08-07,
2017-08-08,
2017-08-09,
2017-08-10,
2017-08-11,
2017-08-14,
2017-08-15,
2017-08-16,
2017-08-17,
2017-08-18,
2017-08-21,
2017-08-22,
2017-08-23,
2017-08-24,
2017-08-25,
2017-08-28,
2017-08-29,
2017-08-30,
2017-08-31,
2017-09-01,
2017-09-05,
2017-09-06,
2017-09-07,
2017-09-08,
2017-09-11,
2017-09-12,
2017-09-13,
2017-09-14,
2017-09-15,
2017-09-18,
2017-09-19,
2017-09-20,
2017-09-21,
2017-09-22,
2017-09-25,
2017-09-26,
2017-09-27,
2017-09-28,
2017-09-29,
2017-10-02,
2017-10-03,
2017-10-04,
2017-10-05,
2017-10-06,
2017-10-09,
2017-10-10,
2017-10-11,
2017-10-12,
2017-10-13,
2017-10-16,
2017-10-17,
2017-10-18,
2017-10-19,
2017-10-20,
2017-10-23,
2017-10-24,
2017-10-25,
2017-10-26,
2017-10-27,
2017-10-30,
2017-10-31,
2017-11-01,
2017-11-02,
2017-11-03,
2017-11-06,
2017-11-07,
2017-11-08,
2017-11-09,
2017-11-10,
2017-11-13,
2017-11-14,
2017-11-15,
2017-11-16,
2017-11-17,
2017-11-20,
2017-11-21,
2017-11-22,
2017-11-24,
2017-11-27,
2017-11-28,
2017-11-29,
2017-11-30,
2017-12-01,
2017-12-04,
2017-12-05,
2017-12-06,
2017-12-07,
2017-12-08,
2017-12-11,
2017-12-12,
2017-12-13,
2017-12-14,
2017-12-15,
2017-12-18,
2017-12-19,
2017-12-20,
2017-12-21,
2017-12-22,
2017-12-26,
2017-12-27,
2017-12-28,
2017-12-29,
2018-01-02,
2018-01-03,
2018-01-04,
2018-01-05,
2018-01-08,
2018-01-09,
2018-01-10,
2018-01-11,
2018-01-12,
2018-01-16,
2018-01-17,
2018-01-18,
2018-01-19,
2018-01-22,
2018-01-23,
2018-01-24,
2018-01-25,
2018-01-26,
2018-01-29,
2018-01-30,
2018-01-31,
2018-02-01,
2018-02-02,
2018-02-05,
2018-02-06,
2018-02-07,
2018-02-08,
2018-02-09,
2018-02-12,
2018-02-13,
2018-02-14,
2018-02-15,
2018-02-16,
2018-02-20,
2018-02-21,
2018-02-22,
2018-02-23,
2018-02-26,
2018-02-27,
2018-02-28,
2018-03-01,
2018-03-02,
2018-03-05,
2018-03-06,
2018-03-07,
2018-03-08,
2018-03-09,
2018-03-12,
2018-03-13,
2018-03-14,
2018-03-15,
2018-03-16,
2018-03-19,
2018-03-20,
2018-03-21,
2018-03-22,
2018-03-23,
2018-03-26,
2018-03-27,
2018-03-28,
2018-03-29,
2018-04-02,
2018-04-03,
2018-04-04,
2018-04-05,
2018-04-06,
2018-04-09,
2018-04-10,
2018-04-11,
2018-04-12,
2018-04-13,
2018-04-16,
2018-04-17,
2018-04-18,
2018-04-19,
2018-04-20,
2018-04-23,
2018-04-24,
2018-04-25,
2018-04-26,
2018-04-27,
2018-04-30,
2018-05-01,
2018-05-02,
2018-05-03,
2018-05-04,
2018-05-07,
2018-05-08,
2018-05-09,
2018-05-10,
2018-05-11,
2018-05-14,
2018-05-15,
2018-05-16,
2018-05-17,
2018-05-18,
2018-05-21,
2018-05-22,
2018-05-23,
2018-05-24,
2018-05-25,
2018-05-29,
2018-05-30,
2018-05-31,
2018-06-01,
2018-06-04,
2018-06-05,
2018-06-06,
2018-06-07,
2018-06-08,
2018-06-11,
2018-06-12,
2018-06-13,
2018-06-14,
2018-06-15,
2018-06-18,
2018-06-19,
2018-06-20,
2018-06-21,
2018-06-22,
2018-06-25,
2018-06-26,
2018-06-27,
2018-06-28,
2018-06-29,
2018-07-02,
2018-07-03,
2018-07-05,
2018-07-06,
2018-07-09,
2018-07-10,
2018-07-11,
2018-07-12,
2018-07-13,
2018-07-16,
2018-07-17,
2018-07-18,
2018-07-19,
2018-07-20,
2018-07-23,
2018-07-24,
2018-07-25,
2018-07-26,
2018-07-27,
2018-07-30,
2018-07-31,
2018-08-01,
2018-08-02,
2018-08-03,
2018-08-06,
2018-08-07,
2018-08-08,
2018-08-09,
2018-08-10,
2018-08-13,
2018-08-14,
2018-08-15,
2018-08-16,
2018-08-17,
2018-08-20,
2018-08-21,
2018-08-22,
2018-08-23,
2018-08-24,
2018-08-27,
2018-08-28,
2018-08-29,
2018-08-30,
2018-08-31,
2018-09-04,
2018-09-05,
2018-09-06,
2018-09-07,
2018-09-10,
2018-09-11,
2018-09-12,
2018-09-13,
2018-09-14,
2018-09-17,
2018-09-18,
2018-09-19,
2018-09-20,
2018-09-21,
2018-09-24,
2018-09-25,
2018-09-26,
2018-09-27,
2018-09-28,
2018-10-01,
2018-10-02,
2018-10-03,
2018-10-04,
2018-10-05,
2018-10-08,
2018-10-09,
2018-10-10,
2018-10-11,
2018-10-12,
2018-10-15,
2018-10-16,
2018-10-17,
2018-10-18,
2018-10-19,
2018-10-22,
2018-10-23,
2018-10-24,
2018-10-25,
2018-10-26,
2018-10-29,
2018-10-30,
2018-10-31,
2018-11-01,
2018-11-02,
2018-11-05,
2018-11-06,
2018-11-07,
2018-11-08,
2018-11-09,
2018-11-12,
2018-11-13,
2018-11-14,
2018-11-15,
2018-11-16,
2018-11-19,
2018-11-20,
2018-11-21,
2018-11-23,
2018-11-26,
2018-11-27,
2018-11-28,
2018-11-29,
2018-11-30,
2018-12-03,
2018-12-04,
2018-12-06,
2018-12-07,
2018-12-10,
2018-12-11,
2018-12-12,
2018-12-13,
2018-12-14,
2018-12-17,
2018-12-18,
2018-12-19,
2018-12-20,
2018-12-21,
2018-12-24,
2018-12-26,
2018-12-27,
2018-12-28,
2018-12-31,
2019-01-02,
2019-01-03,
2019-01-04,
2019-01-07,
2019-01-08,
2019-01-09,
2019-01-10,
2019-01-11,
2019-01-14,
2019-01-15,
2019-01-16,
2019-01-17,
2019-01-18,
2019-01-22,
2019-01-23,
2019-01-24,
2019-01-25,
2019-01-28,
2019-01-29,
2019-01-30,
2019-01-31,
2019-02-01,
2019-02-04,
2019-02-05,
2019-02-06,
2019-02-07,
2019-02-08,
2019-02-11,
2019-02-12,
2019-02-13,
2019-02-14,
2019-02-15,
2019-02-19,
2019-02-20,
2019-02-21,
2019-02-22,
2019-02-25,
2019-02-26,
2019-02-27,
2019-02-28,
2019-03-01,
2019-03-04,
2019-03-05,
2019-03-06,
2019-03-07,
2019-03-08,
2019-03-11,
2019-03-12,
2019-03-13,
2019-03-14,
2019-03-15,
2019-03-18,
2019-03-19,
2019-03-20,
2019-03-21,
2019-03-22,
2019-03-25,
2019-03-26,
2019-03-27,
2019-03-28,
2019-03-29,
2019-04-01,
2019-04-02,
2019-04-03,
2019-04-04,
2019-04-05,
2019-04-08,
2019-04-09,
2019-04-10,
2019-04-11,
2019-04-12,
2019-04-15,
2019-04-16,
2019-04-17,
2019-04-18,
2019-04-22,
2019-04-23,
2019-04-24,
2019-04-25,
2019-04-26,
2019-04-29,
2019-04-30,
2019-05-01,
2019-05-02,
2019-05-03,
2019-05-06,
2019-05-07,
2019-05-08,
2019-05-09,
2019-05-10,
2019-05-13,
2019-05-14,
2019-05-15,
2019-05-16,
