,BWFG
2011-02-10,15.0
2011-02-11,15.0
2011-02-14,15.0
2011-02-15,15.0
2011-02-16,15.0
2011-02-17,15.0
2011-02-18,15.0
2011-02-22,15.0
2011-02-23,15.0
2011-02-24,15.0
2011-02-25,15.0
2011-02-28,15.0
2011-03-01,15.0
2011-03-02,15.0
2011-03-03,15.0
2011-03-04,15.0
2011-03-07,14.050000190734863
2011-03-08,14.050000190734863
2011-03-09,14.050000190734863
2011-03-10,14.050000190734863
2011-03-11,14.050000190734863
2011-03-14,14.050000190734863
2011-03-15,14.050000190734863
2011-03-16,14.050000190734863
2011-03-17,14.050000190734863
2011-03-18,14.050000190734863
2011-03-21,14.050000190734863
2011-03-22,14.050000190734863
2011-03-23,14.050000190734863
2011-03-24,14.050000190734863
2011-03-25,14.050000190734863
2011-03-28,14.050000190734863
2011-03-29,14.050000190734863
2011-03-30,14.050000190734863
2011-03-31,14.050000190734863
2011-04-01,14.050000190734863
2011-04-04,14.050000190734863
2011-04-05,14.050000190734863
2011-04-06,14.050000190734863
2011-04-07,14.050000190734863
2011-04-08,14.050000190734863
2011-04-11,14.050000190734863
2011-04-12,14.050000190734863
2011-04-13,14.050000190734863
2011-04-14,14.050000190734863
2011-04-15,14.050000190734863
2011-04-18,14.050000190734863
2011-04-19,14.050000190734863
2011-04-20,14.050000190734863
2011-04-21,14.050000190734863
2011-04-25,14.050000190734863
2011-04-26,14.050000190734863
2011-04-27,14.050000190734863
2011-04-28,14.050000190734863
2011-04-29,14.050000190734863
2011-05-02,14.050000190734863
2011-05-03,14.050000190734863
2011-05-04,14.050000190734863
2011-05-05,14.050000190734863
2011-05-06,14.050000190734863
2011-05-09,14.050000190734863
2011-05-10,14.050000190734863
2011-05-11,14.050000190734863
2011-05-12,14.050000190734863
2011-05-13,14.050000190734863
2011-05-16,14.050000190734863
2011-05-17,14.050000190734863
2011-05-18,14.050000190734863
2011-05-19,14.050000190734863
2011-05-20,14.050000190734863
2011-05-23,14.050000190734863
2011-05-24,14.050000190734863
2011-05-25,14.050000190734863
2011-05-26,14.050000190734863
2011-05-27,14.050000190734863
2011-05-31,14.050000190734863
2011-06-01,14.050000190734863
2011-06-02,14.050000190734863
2011-06-03,14.050000190734863
2011-06-06,14.050000190734863
2011-06-07,14.050000190734863
2011-06-08,14.050000190734863
2011-06-09,14.050000190734863
2011-06-10,14.050000190734863
2011-06-13,13.800000190734863
2011-06-14,13.800000190734863
2011-06-15,13.800000190734863
2011-06-16,13.800000190734863
2011-06-17,13.800000190734863
2011-06-20,13.800000190734863
2011-06-21,13.800000190734863
2011-06-22,13.800000190734863
2011-06-23,13.800000190734863
2011-06-24,13.800000190734863
2011-06-27,13.800000190734863
2011-06-28,13.800000190734863
2011-06-29,13.800000190734863
2011-06-30,13.800000190734863
2011-07-01,13.800000190734863
2011-07-05,13.800000190734863
2011-07-06,13.800000190734863
2011-07-07,13.800000190734863
2011-07-08,13.800000190734863
2011-07-11,13.800000190734863
2011-07-12,13.800000190734863
2011-07-13,13.800000190734863
2011-07-14,13.800000190734863
2011-07-15,13.800000190734863
2011-07-18,13.800000190734863
2011-07-19,13.800000190734863
2011-07-20,12.609999656677246
2011-07-21,12.609999656677246
2011-07-22,12.600000381469727
2011-07-25,12.75
2011-07-26,12.75
2011-07-27,13.0
2011-07-28,13.0
2011-07-29,13.0
2011-08-01,13.0
2011-08-02,13.5
2011-08-03,13.5
2011-08-04,13.5
2011-08-05,13.5
2011-08-08,13.5
2011-08-09,13.5
2011-08-10,13.5
2011-08-11,13.5
2011-08-12,13.5
2011-08-15,13.5
2011-08-16,13.5
2011-08-17,13.0
2011-08-18,13.0
2011-08-19,13.0
2011-08-22,13.0
2011-08-23,13.0
2011-08-24,13.0
2011-08-25,13.0
2011-08-26,13.0
2011-08-29,13.0
2011-08-30,13.0
2011-08-31,13.0
2011-09-01,13.0
2011-09-02,13.0
2011-09-06,13.0
2011-09-07,13.0
2011-09-08,13.0
2011-09-09,13.0
2011-09-12,13.0
2011-09-13,13.0
2011-09-14,13.0
2011-09-15,13.0
2011-09-16,13.0
2011-09-19,13.0
2011-09-20,13.0
2011-09-21,13.0
2011-09-22,13.0
2011-09-23,13.0
2011-09-26,13.0
2011-09-27,13.0
2011-09-28,13.0
2011-09-29,13.0
2011-09-30,13.0
2011-10-03,13.0
2011-10-04,13.0
2011-10-05,13.0
2011-10-06,13.0
2011-10-07,13.0
2011-10-10,13.0
2011-10-11,13.0
2011-10-12,13.0
2011-10-13,13.0
2011-10-14,13.0
2011-10-17,13.0
2011-10-18,13.0
2011-10-19,13.0
2011-10-20,13.0
2011-10-21,13.0
2011-10-24,13.0
2011-10-25,13.0
2011-10-26,13.0
2011-10-27,13.0
2011-10-28,13.0
2011-10-31,13.0
2011-11-01,13.0
2011-11-02,13.0
2011-11-03,13.0
2011-11-04,13.0
2011-11-07,13.0
2011-11-08,13.0
2011-11-09,13.0
2011-11-10,13.0
2011-11-11,13.0
2011-11-14,13.0
2011-11-15,13.0
2011-11-16,13.0
2011-11-17,13.0
2011-11-18,13.0
2011-11-21,13.0
2011-11-22,13.0
2011-11-23,13.0
2011-11-25,13.0
2011-11-28,13.5
2011-11-29,13.5
2011-11-30,13.5
2011-12-01,13.5
2011-12-02,13.0
2011-12-05,13.0
2011-12-06,13.0
2011-12-07,13.0
2011-12-08,13.0
2011-12-09,13.0
2011-12-12,13.0
2011-12-13,13.0
2011-12-14,13.0
2011-12-15,13.0
2011-12-16,13.0
2011-12-19,13.0
2011-12-20,13.0
2011-12-21,13.0
2011-12-22,13.0
2011-12-23,13.0
2011-12-27,13.0
2011-12-28,13.0
2011-12-29,13.0
2011-12-30,13.0
2012-01-03,13.0
2012-01-04,13.0
2012-01-05,13.0
2012-01-06,13.0
2012-01-09,13.0
2012-01-10,13.0
2012-01-11,13.0
2012-01-12,13.0
2012-01-13,13.0
2012-01-17,13.0
2012-01-18,13.0
2012-01-19,13.0
2012-01-20,13.0
2012-01-23,13.0
2012-01-24,13.0
2012-01-25,13.0
2012-01-26,13.0
2012-01-27,13.0
2012-01-30,13.0
2012-01-31,13.0
2012-02-01,13.0
2012-02-02,13.0
2012-02-03,13.0
2012-02-06,13.0
2012-02-07,13.5
2012-02-08,13.5
2012-02-09,13.5
2012-02-10,13.5
2012-02-13,13.5
2012-02-14,13.5
2012-02-15,15.5
2012-02-16,15.5
2012-02-17,15.5
2012-02-21,15.5
2012-02-22,15.5
2012-02-23,15.5
2012-02-24,15.5
2012-02-27,15.5
2012-02-28,15.5
2012-02-29,15.5
2012-03-01,15.5
2012-03-02,15.5
2012-03-05,15.5
2012-03-06,15.5
2012-03-07,15.5
2012-03-08,15.5
2012-03-09,14.0
2012-03-12,14.0
2012-03-13,14.0
2012-03-14,14.0
2012-03-15,14.0
2012-03-16,14.0
2012-03-19,14.0
2012-03-20,14.0
2012-03-21,14.0
2012-03-22,14.0
2012-03-23,14.0
2012-03-26,14.0
2012-03-27,14.0
2012-03-28,14.0
2012-03-29,14.0
2012-03-30,14.0
2012-04-02,14.0
2012-04-03,14.0
2012-04-04,14.0
2012-04-05,14.0
2012-04-09,14.0
2012-04-10,14.0
2012-04-11,14.0
2012-04-12,14.0
2012-04-13,14.0
2012-04-16,14.0
2012-04-17,14.75
2012-04-18,14.75
2012-04-19,15.0
2012-04-20,14.899999618530273
2012-04-23,14.899999618530273
2012-04-24,14.899999618530273
2012-04-25,14.899999618530273
2012-04-26,14.899999618530273
2012-04-27,14.75
2012-04-30,14.75
2012-05-01,14.75
2012-05-02,14.75
2012-05-03,14.75
2012-05-04,14.75
2012-05-07,13.0
2012-05-08,13.0
2012-05-09,12.5
2012-05-10,12.5
2012-05-11,12.5
2012-05-14,12.5
2012-05-15,12.5
2012-05-16,12.5
2012-05-17,12.5
2012-05-18,12.5
2012-05-21,12.5
2012-05-22,12.5
2012-05-23,12.5
2012-05-24,12.5
2012-05-25,12.5
2012-05-29,12.5
2012-05-30,12.5
2012-05-31,12.5
2012-06-01,12.5
2012-06-04,12.5
2012-06-05,12.5
2012-06-06,12.5
2012-06-07,12.5
2012-06-08,12.5
2012-06-11,12.5
2012-06-12,12.5
2012-06-13,12.5
2012-06-14,12.5
2012-06-15,12.5
2012-06-18,13.0
2012-06-19,13.0
2012-06-20,13.0
2012-06-21,13.0
2012-06-22,13.0
2012-06-25,13.0
2012-06-26,13.0
2012-06-27,13.0
2012-06-28,13.0
2012-06-29,13.0
2012-07-02,13.0
2012-07-03,13.0
2012-07-05,13.0
2012-07-06,13.0
2012-07-09,13.0
2012-07-10,13.0
2012-07-11,13.0
2012-07-12,13.0
2012-07-13,13.0
2012-07-16,13.0
2012-07-17,13.0
2012-07-18,13.0
2012-07-19,13.0
2012-07-20,13.0
2012-07-23,13.0
2012-07-24,13.0
2012-07-25,13.0
2012-07-26,13.0
2012-07-27,13.0
2012-07-30,13.0
2012-07-31,13.0
2012-08-01,13.0
2012-08-02,13.0
2012-08-03,13.0
2012-08-06,13.0
2012-08-07,13.0
2012-08-08,13.0
2012-08-09,13.0
2012-08-10,13.0
2012-08-13,13.0
2012-08-14,13.0
2012-08-15,13.0
2012-08-16,13.0
2012-08-17,13.0
2012-08-20,13.5
2012-08-21,13.5
2012-08-22,13.5
2012-08-23,13.5
2012-08-24,13.5
2012-08-27,13.5
2012-08-28,13.5
2012-08-29,13.5
2012-08-30,13.5
2012-08-31,13.5
2012-09-04,13.5
2012-09-05,13.5
2012-09-06,13.5
2012-09-07,13.5
2012-09-10,13.5
2012-09-11,13.5
2012-09-12,13.5
2012-09-13,13.5
2012-09-14,13.5
2012-09-17,13.699999809265137
2012-09-18,13.5
2012-09-19,13.5
2012-09-20,13.800000190734863
2012-09-21,13.800000190734863
2012-09-24,13.800000190734863
2012-09-25,13.800000190734863
2012-09-26,13.800000190734863
2012-09-27,13.800000190734863
2012-09-28,13.800000190734863
2012-10-01,13.800000190734863
2012-10-02,13.800000190734863
2012-10-03,13.800000190734863
2012-10-04,13.800000190734863
2012-10-05,13.800000190734863
2012-10-08,13.800000190734863
2012-10-09,13.800000190734863
2012-10-10,13.800000190734863
2012-10-11,13.800000190734863
2012-10-12,13.800000190734863
2012-10-15,13.800000190734863
2012-10-16,13.800000190734863
2012-10-17,13.800000190734863
2012-10-18,13.800000190734863
2012-10-19,13.800000190734863
2012-10-22,13.800000190734863
2012-10-23,13.800000190734863
2012-10-24,13.800000190734863
2012-10-25,13.800000190734863
2012-10-26,13.800000190734863
2012-10-31,13.800000190734863
2012-11-01,13.800000190734863
2012-11-02,13.800000190734863
2012-11-05,13.800000190734863
2012-11-06,13.800000190734863
2012-11-07,13.800000190734863
2012-11-08,13.800000190734863
2012-11-09,14.0
2012-11-12,14.0
2012-11-13,14.0
2012-11-14,14.0
2012-11-15,13.5
2012-11-16,13.5
2012-11-19,13.5
2012-11-20,13.5
2012-11-21,13.5
2012-11-23,13.5
2012-11-26,13.25
2012-11-27,13.25
2012-11-28,13.25
2012-11-29,13.25
2012-11-30,13.25
2012-12-03,13.25
2012-12-04,13.25
2012-12-05,13.25
2012-12-06,13.25
2012-12-07,13.25
2012-12-10,13.25
2012-12-11,13.5
2012-12-12,13.5
2012-12-13,13.5
2012-12-14,13.5
2012-12-17,13.5
2012-12-18,13.5
2012-12-19,13.5
2012-12-20,13.5
2012-12-21,13.5
2012-12-24,13.5
2012-12-26,13.5
2012-12-27,13.5
2012-12-28,13.5
2012-12-31,13.5
2013-01-02,13.5
2013-01-03,13.5
2013-01-04,13.5
2013-01-07,13.5
2013-01-08,13.5
2013-01-09,13.5
2013-01-10,13.5
2013-01-11,13.5
2013-01-14,13.5
2013-01-15,13.5
2013-01-16,13.5
2013-01-17,13.5
2013-01-18,13.5
2013-01-22,13.75
2013-01-23,13.75
2013-01-24,14.0
2013-01-25,14.0
2013-01-28,14.0
2013-01-29,14.0
2013-01-30,13.75
2013-01-31,13.75
2013-02-01,13.75
2013-02-04,13.75
2013-02-05,13.75
2013-02-06,14.3100004196167
2013-02-07,14.3100004196167
2013-02-08,14.3100004196167
2013-02-11,14.3100004196167
2013-02-12,14.3100004196167
2013-02-13,14.3100004196167
2013-02-14,14.3100004196167
2013-02-15,14.5
2013-02-19,14.5
2013-02-20,14.5
2013-02-21,14.5
2013-02-22,14.5
2013-02-25,16.0
2013-02-26,16.0
2013-02-27,16.0
2013-02-28,16.0
2013-03-01,16.0
2013-03-04,16.0
2013-03-05,16.0
2013-03-06,18.0
2013-03-07,22.0
2013-03-08,22.0
2013-03-11,19.25
2013-03-12,20.25
2013-03-13,20.25
2013-03-14,20.25
2013-03-15,20.25
2013-03-18,20.25
2013-03-19,22.0
2013-03-20,22.0
2013-03-21,22.0
2013-03-22,22.0
2013-03-25,22.0
2013-03-26,22.0
2013-03-27,22.0
2013-03-28,22.0
2013-04-01,22.0
2013-04-02,22.0
2013-04-03,22.0
2013-04-04,22.0
2013-04-05,22.0
2013-04-08,21.5
2013-04-09,21.5
2013-04-10,21.5
2013-04-11,21.5
2013-04-12,21.5
2013-04-15,21.5
2013-04-16,21.5
2013-04-17,21.5
2013-04-18,21.5
2013-04-19,21.5
2013-04-22,21.5
2013-04-23,21.5
2013-04-24,21.5
2013-04-25,22.0
2013-04-26,22.0
2013-04-29,22.0
2013-04-30,22.0
2013-05-01,22.0
2013-05-02,22.0
2013-05-03,22.0
2013-05-06,22.0
2013-05-07,22.0
2013-05-08,22.0
2013-05-09,22.0
2013-05-10,22.0
2013-05-13,22.0
2013-05-14,22.0
2013-05-15,23.0
2013-05-16,23.0
2013-05-17,23.0
2013-05-20,23.0
2013-05-21,20.0
2013-05-22,20.0
2013-05-23,20.0
2013-05-24,20.0
2013-05-28,21.989999771118164
2013-05-29,21.989999771118164
2013-05-30,21.989999771118164
2013-05-31,21.989999771118164
2013-06-03,21.989999771118164
2013-06-04,21.989999771118164
2013-06-05,21.989999771118164
2013-06-06,21.989999771118164
2013-06-07,21.989999771118164
2013-06-10,21.989999771118164
2013-06-11,21.989999771118164
2013-06-12,21.25
2013-06-13,21.25
2013-06-14,21.0
2013-06-17,20.549999237060547
2013-06-18,21.0
2013-06-19,21.0
2013-06-20,21.0
2013-06-21,20.0
2013-06-24,20.0
2013-06-25,20.0
2013-06-26,20.0
2013-06-27,20.0
2013-06-28,20.0
2013-07-01,20.0
2013-07-02,19.010000228881836
2013-07-03,19.010000228881836
2013-07-05,20.0
2013-07-08,21.739999771118164
2013-07-09,19.360000610351562
2013-07-10,19.0
2013-07-11,19.0
2013-07-12,19.0
2013-07-15,19.0
2013-07-16,19.270000457763672
2013-07-17,19.270000457763672
2013-07-18,19.270000457763672
2013-07-19,19.270000457763672
2013-07-22,19.270000457763672
2013-07-23,20.549999237060547
2013-07-24,20.549999237060547
2013-07-25,20.549999237060547
2013-07-26,20.549999237060547
2013-07-29,20.549999237060547
2013-07-30,21.899999618530273
2013-07-31,21.899999618530273
2013-08-01,21.899999618530273
2013-08-02,21.0
2013-08-05,21.0
2013-08-06,21.799999237060547
2013-08-07,21.799999237060547
2013-08-08,21.799999237060547
2013-08-09,21.799999237060547
2013-08-12,22.0
2013-08-13,22.0
2013-08-14,22.0
2013-08-15,22.0
2013-08-16,22.0
2013-08-19,22.0
2013-08-20,22.0
2013-08-21,22.0
2013-08-22,22.0
2013-08-23,22.0
2013-08-26,22.0
2013-08-27,22.0
2013-08-28,22.0
2013-08-29,22.0
2013-08-30,22.0
2013-09-03,22.0
2013-09-04,22.0
2013-09-05,22.0
2013-09-06,22.0
2013-09-09,22.0
2013-09-10,22.0
2013-09-11,22.0
2013-09-12,22.0
2013-09-13,22.0
2013-09-16,22.0
2013-09-17,21.600000381469727
2013-09-18,21.600000381469727
2013-09-19,21.600000381469727
2013-09-20,21.600000381469727
2013-09-23,21.600000381469727
2013-09-24,21.600000381469727
2013-09-25,21.600000381469727
2013-09-26,22.0
2013-09-27,21.0
2013-09-30,21.0
2013-10-01,21.0
2013-10-02,21.0
2013-10-03,22.0
2013-10-04,22.0
2013-10-07,22.0
2013-10-08,22.0
2013-10-09,22.0
2013-10-10,22.0
2013-10-11,22.0
2013-10-14,22.0
2013-10-15,22.0
2013-10-16,22.0
2013-10-17,22.0
2013-10-18,22.0
2013-10-21,22.0
2013-10-22,22.0
2013-10-23,22.0
2013-10-24,22.0
2013-10-25,22.0
2013-10-28,22.0
2013-10-29,22.0
2013-10-30,22.0
2013-10-31,22.0
2013-11-01,22.0
2013-11-04,22.0
2013-11-05,22.0
2013-11-06,22.0
2013-11-07,20.110000610351562
2013-11-08,20.110000610351562
2013-11-11,20.0
2013-11-12,20.0
2013-11-13,20.0
2013-11-14,20.0
2013-11-15,20.0
2013-11-18,20.0
2013-11-19,20.0
2013-11-20,20.0
2013-11-21,20.0
2013-11-22,19.5
2013-11-25,19.5
2013-11-26,19.0
2013-11-27,19.0
2013-11-29,19.0
2013-12-02,19.0
2013-12-03,19.0
2013-12-04,19.0
2013-12-05,19.0
2013-12-06,19.0
2013-12-09,19.0
2013-12-10,19.0
2013-12-11,19.0
2013-12-12,19.0
2013-12-13,19.0
2013-12-16,19.0
2013-12-17,19.0
2013-12-18,19.0
2013-12-19,19.0
2013-12-20,19.5
2013-12-23,19.5
2013-12-24,20.0
2013-12-26,20.0
2013-12-27,20.0
2013-12-30,20.0
2013-12-31,20.899999618530273
2014-01-02,20.979999542236328
2014-01-03,20.979999542236328
2014-01-06,20.979999542236328
2014-01-07,20.1200008392334
2014-01-08,20.1200008392334
2014-01-09,20.0
2014-01-10,20.90999984741211
2014-01-13,20.90999984741211
2014-01-14,20.059999465942383
2014-01-15,20.989999771118164
2014-01-16,20.0
2014-01-17,20.0
2014-01-21,20.0
2014-01-22,20.0
2014-01-23,20.0
2014-01-24,20.0
2014-01-27,20.0
2014-01-28,20.0
2014-01-29,20.0
2014-01-30,20.0
2014-01-31,20.0
2014-02-03,20.0
2014-02-04,20.0
2014-02-05,20.0
2014-02-06,20.0
2014-02-07,20.0
2014-02-10,20.0
2014-02-11,20.0
2014-02-12,20.0
2014-02-13,20.0
2014-02-14,20.0
2014-02-18,20.0
2014-02-19,19.5
2014-02-20,18.799999237060547
2014-02-21,18.799999237060547
2014-02-24,18.799999237060547
2014-02-25,18.799999237060547
2014-02-26,18.799999237060547
2014-02-27,20.0
2014-02-28,20.0
2014-03-03,21.0
2014-03-04,21.5
2014-03-05,21.5
2014-03-06,21.5
2014-03-07,21.5
2014-03-10,21.5
2014-03-11,21.5
2014-03-12,21.5
2014-03-13,21.5
2014-03-14,21.5
2014-03-17,21.5
2014-03-18,21.5
2014-03-19,21.5
2014-03-20,21.549999237060547
2014-03-21,21.549999237060547
2014-03-24,21.549999237060547
2014-03-25,22.0
2014-03-26,22.0
2014-03-27,22.0
2014-03-28,22.0
2014-03-31,22.0
2014-04-01,22.0
2014-04-02,22.0
2014-04-03,22.0
2014-04-04,22.0
2014-04-07,22.0
2014-04-08,22.0
2014-04-09,22.0
2014-04-10,22.0
2014-04-11,22.0
2014-04-14,22.0
2014-04-15,22.0
2014-04-16,21.75
2014-04-17,21.75
2014-04-21,21.75
2014-04-22,21.75
2014-04-23,22.0
2014-04-24,22.0
2014-04-25,22.0
2014-04-28,22.0
2014-04-29,22.0
2014-04-30,22.0
2014-05-01,22.0
2014-05-02,22.0
2014-05-05,22.0
2014-05-06,22.0
2014-05-07,22.0
2014-05-08,22.0
2014-05-09,22.0
2014-05-12,21.700000762939453
2014-05-13,21.649999618530273
2014-05-14,20.75
2014-05-15,18.0
2014-05-16,18.0
2014-05-19,18.0
2014-05-20,18.0
2014-05-21,17.899999618530273
2014-05-22,17.899999618530273
2014-05-23,18.100000381469727
2014-05-27,18.049999237060547
2014-05-28,18.0
2014-05-29,17.899999618530273
2014-05-30,17.940000534057617
2014-06-02,18.0
2014-06-03,17.799999237060547
2014-06-04,17.809999465942383
2014-06-05,17.940000534057617
2014-06-06,17.899999618530273
2014-06-09,17.81999969482422
2014-06-10,17.760000228881836
2014-06-11,17.790000915527344
2014-06-12,17.770000457763672
2014-06-13,17.899999618530273
2014-06-16,17.979999542236328
2014-06-17,17.950000762939453
2014-06-18,17.8700008392334
2014-06-19,17.690000534057617
2014-06-20,16.059999465942383
2014-06-23,16.520000457763672
2014-06-24,16.75
2014-06-25,16.649999618530273
2014-06-26,16.420000076293945
2014-06-27,16.299999237060547
2014-06-30,17.0
2014-07-01,17.18000030517578
2014-07-02,17.030000686645508
2014-07-03,17.200000762939453
2014-07-07,16.299999237060547
2014-07-08,16.549999237060547
2014-07-09,16.940000534057617
2014-07-10,16.860000610351562
2014-07-11,17.0
2014-07-14,17.280000686645508
2014-07-15,17.280000686645508
2014-07-16,17.059999465942383
2014-07-17,17.139999389648438
2014-07-18,17.139999389648438
2014-07-21,17.260000228881836
2014-07-22,17.260000228881836
2014-07-23,17.399999618530273
2014-07-24,17.270000457763672
2014-07-25,17.110000610351562
2014-07-28,17.110000610351562
2014-07-29,17.1200008392334
2014-07-30,17.100000381469727
2014-07-31,17.100000381469727
2014-08-01,17.239999771118164
2014-08-04,17.25
2014-08-05,17.389999389648438
2014-08-06,17.399999618530273
2014-08-07,17.469999313354492
2014-08-08,18.219999313354492
2014-08-11,18.079999923706055
2014-08-12,18.049999237060547
2014-08-13,18.059999465942383
2014-08-14,18.100000381469727
2014-08-15,18.149999618530273
2014-08-18,18.479999542236328
2014-08-19,18.860000610351562
2014-08-20,18.530000686645508
2014-08-21,18.65999984741211
2014-08-22,18.600000381469727
2014-08-25,19.049999237060547
2014-08-26,19.040000915527344
2014-08-27,19.5
2014-08-28,19.5
2014-08-29,19.5
2014-09-02,19.5
2014-09-03,19.09000015258789
2014-09-04,19.200000762939453
2014-09-05,19.290000915527344
2014-09-08,19.5
2014-09-09,20.0
2014-09-10,19.6299991607666
2014-09-11,20.0
2014-09-12,19.979999542236328
2014-09-15,19.75
2014-09-16,18.850000381469727
2014-09-17,18.760000228881836
2014-09-18,19.25
2014-09-19,17.719999313354492
2014-09-22,19.219999313354492
2014-09-23,18.75
2014-09-24,18.75
2014-09-25,18.850000381469727
2014-09-26,19.34000015258789
2014-09-29,18.850000381469727
2014-09-30,18.969999313354492
2014-10-01,19.0
2014-10-02,18.979999542236328
2014-10-03,19.81999969482422
2014-10-06,19.709999084472656
2014-10-07,19.719999313354492
2014-10-08,18.969999313354492
2014-10-09,18.940000534057617
2014-10-10,18.93000030517578
2014-10-13,18.40999984741211
2014-10-14,18.969999313354492
2014-10-15,19.920000076293945
2014-10-16,19.469999313354492
2014-10-17,18.979999542236328
2014-10-20,19.0
2014-10-21,19.0
2014-10-22,19.0
2014-10-23,18.75
2014-10-24,18.75
2014-10-27,18.75
2014-10-28,18.969999313354492
2014-10-29,18.75
2014-10-30,18.799999237060547
